condition,scenario,n_decisions,swmm_time_s,inference_time_s,total_time_s,ms_per_decision_inference_only,margin_x
Regular,10yr_0060m_h193,58,0.035286069149151444,0.04354706685990095,0.08196002594195306,0.7508114975844992,84919.44603494043
Regular,10yr_0120m_h345,88,0.052258255891501904,0.01046149106696248,0.06691343896090984,0.11888058030639181,157815.83137834308
Regular,10yr_0180m_h385,118,0.0672957100905478,0.014060314511880279,0.08692784607410431,0.11915520772779897,162893.7174852909
Regular,10yr_0240m_h515,148,0.08264224696904421,0.01761781214736402,0.10718186898157,0.11903927126597312,165699.66701228026
Regular,10yr_0360m_h672,208,0.11180666787549853,0.024481844156980515,0.14586645807139575,0.11770117383163708,171115.41837660226
Regular,10yr_0540m_h800,298,0.15755398478358984,0.036231043515726924,0.20780062582343817,0.12158068293868095,172088.02840846195
Regular,10yr_0720m_h912,388,0.20381951401941478,0.045185860712081194,0.2668380269315094,0.11645840389711648,174487.8739189253
Regular,10yr_1080m_h1061,568,0.30745592387393117,0.06658830237574875,0.39996836287900805,0.11723292671786753,170413.4784795933
Regular,10yr_1440m_h1176,748,0.3965104960370809,0.09989418461918831,0.5339996349066496,0.13354837515934265,168090.00256281314
Regular,100yr_0060m_h140,58,0.04038001806475222,0.007223548833280802,0.05056142108514905,0.12454394540139314,137654.35881002757
Regular,100yr_0120m_h322,88,0.05587932700291276,0.010681678773835301,0.07083195610903203,0.12138271333903752,149085.2516305625
Regular,100yr_0180m_h465,118,0.07177687622606754,0.013911702437326312,0.09121625521220267,0.11789578336717214,155235.48919059016
Regular,100yr_0240m_h602,148,0.086698018014431,0.017645558575168252,0.11123833595775068,0.11922674712951521,159657.1887478199
Regular,100yr_0360m_h670,208,0.12260766490362585,0.02443223772570491,0.15658035199157894,0.11746268137358129,159406.97336880668
Regular,100yr_0540m_h862,298,0.17000599298626184,0.03513093292713165,0.21887920191511512,0.11788903666822702,163377.7886940044
Regular,100yr_0720m_h964,388,0.2135861529968679,0.044982524355873466,0.27613401715643704,0.11593434112338523,168613.7784814196
Regular,100yr_1080m_h1077,568,0.30065467907115817,0.06697535631246865,0.3936780740041286,0.11791435970505043,173136.38858964035
Regular,100yr_1440m_h1202,748,0.40010141395032406,0.0893119815737009,0.5239000089932233,0.11940104488462687,171330.4036250953
Regular,20yr_0060m_h225,58,0.03789128107018769,0.008098730817437172,0.049124650890007615,0.1396332899558133,141680.39617388355
