condition,repeat,abc_s_pooled,n_decisions_pooled,ms_per_decision
Regular,1,2.504606671165675,15732,0.1592045938956061
GA-guided,1,2.448492916300893,15732,0.15563773940381978
PSO-guided,1,2.472840230446309,15732,0.15718536933932803
"Regular(2-criterion,E14)",1,2.5154297719709575,15732,0.15989256114740386
GA-only,1,315.472174549941,15732,20.052896932999044
PSO-only,1,22.28815026767552,15732,1.4167397830965878
Regular,2,2.4127249508164823,15732,0.15336415909080106
GA-guided,2,2.4203828503377736,15732,0.15385093124445548
PSO-guided,2,2.420361390337348,15732,0.153849567145776
"Regular(2-criterion,E14)",2,2.4662977498956025,15732,0.156769498467811
GA-only,2,313.01489490363747,15732,19.89670066766066
PSO-only,2,22.195651307236403,15732,1.4108601136051617
Regular,3,2.426795359700918,15732,0.15425854053527321
GA-guided,3,2.427511755377054,15732,0.15430407801786514
PSO-guided,3,2.4580320375971496,15732,0.15624409087192662
"Regular(2-criterion,E14)",3,2.4810219914652407,15732,0.1577054405965701
GA-only,3,312.24186069192365,15732,19.84756297304371
PSO-only,3,22.09090442303568,15732,1.4042019084055226
