duration_int,return_period_int,model,n_seeds,max_level_m_mean,max_level_m_std,max_level_m_ci95_half
60,10,GA-guided(4-criterion),5,5.9226,0.0727,0.0902
60,10,Regular(2-criterion),5,5.0963,0.1936,0.2404
60,20,GA-guided(4-criterion),5,5.9093,0.0869,0.1079
60,20,Regular(2-criterion),5,5.3455,0.1538,0.191
60,30,GA-guided(4-criterion),5,5.9439,0.1077,0.1337
60,30,Regular(2-criterion),5,5.5318,0.0676,0.0839
60,50,GA-guided(4-criterion),5,6.0339,0.0704,0.0874
60,50,Regular(2-criterion),5,5.7793,0.114,0.1416
60,80,GA-guided(4-criterion),5,6.1841,0.0666,0.0827
60,80,Regular(2-criterion),5,5.9757,0.1068,0.1326
60,100,GA-guided(4-criterion),5,6.2994,0.0592,0.0735
60,100,Regular(2-criterion),5,6.0929,0.0906,0.1125
120,10,GA-guided(4-criterion),5,5.9393,0.0564,0.07
120,10,Regular(2-criterion),5,5.0677,0.3233,0.4014
120,20,GA-guided(4-criterion),5,5.9672,0.0692,0.0859
120,20,Regular(2-criterion),5,5.1632,0.3569,0.4432
120,30,GA-guided(4-criterion),5,5.972,0.0806,0.1001
120,30,Regular(2-criterion),5,5.3462,0.3,0.3725
120,50,GA-guided(4-criterion),5,6.0355,0.0738,0.0916
120,50,Regular(2-criterion),5,5.5539,0.1641,0.2037
120,80,GA-guided(4-criterion),5,6.2266,0.0798,0.099
120,80,Regular(2-criterion),5,5.8877,0.0941,0.1169
120,100,GA-guided(4-criterion),5,6.3069,0.0839,0.1042
120,100,Regular(2-criterion),5,6.0084,0.0705,0.0875
180,10,GA-guided(4-criterion),5,5.9724,0.0808,0.1004
180,10,Regular(2-criterion),5,4.9525,0.2423,0.3008
180,20,GA-guided(4-criterion),5,5.9904,0.0602,0.0748
180,20,Regular(2-criterion),5,5.0831,0.3651,0.4534
180,30,GA-guided(4-criterion),5,6.0295,0.0831,0.1032
180,30,Regular(2-criterion),5,5.1367,0.4345,0.5394
180,50,GA-guided(4-criterion),5,6.0255,0.0811,0.1006
180,50,Regular(2-criterion),5,5.266,0.417,0.5178
180,80,GA-guided(4-criterion),5,6.0358,0.0614,0.0763
180,80,Regular(2-criterion),5,5.359,0.3022,0.3752
180,100,GA-guided(4-criterion),5,6.1111,0.0828,0.1028
180,100,Regular(2-criterion),5,5.5284,0.2323,0.2884
240,10,GA-guided(4-criterion),5,6.0111,0.0744,0.0923
240,10,Regular(2-criterion),5,4.7942,0.106,0.1316
240,20,GA-guided(4-criterion),5,6.0261,0.0942,0.1169
240,20,Regular(2-criterion),5,4.8507,0.1319,0.1638
240,30,GA-guided(4-criterion),5,6.0312,0.0806,0.1001
240,30,Regular(2-criterion),5,5.0094,0.2577,0.32
240,50,GA-guided(4-criterion),5,6.0467,0.0757,0.0939
240,50,Regular(2-criterion),5,5.1232,0.444,0.5513
240,80,GA-guided(4-criterion),5,6.0542,0.0719,0.0892
240,80,Regular(2-criterion),5,5.1753,0.4612,0.5726
240,100,GA-guided(4-criterion),5,6.06,0.0756,0.0938
240,100,Regular(2-criterion),5,5.287,0.4028,0.5001
360,10,GA-guided(4-criterion),5,5.9995,0.0667,0.0828
360,10,Regular(2-criterion),5,4.7647,0.0632,0.0785
360,20,GA-guided(4-criterion),5,6.059,0.1148,0.1426
360,20,Regular(2-criterion),5,4.7671,0.0794,0.0985
360,30,GA-guided(4-criterion),5,6.0558,0.1191,0.1478
360,30,Regular(2-criterion),5,4.7855,0.08,0.0994
360,50,GA-guided(4-criterion),5,6.0734,0.0979,0.1216
360,50,Regular(2-criterion),5,4.7825,0.0776,0.0963
360,80,GA-guided(4-criterion),5,6.1054,0.0751,0.0932
360,80,Regular(2-criterion),5,4.8032,0.0862,0.107
360,100,GA-guided(4-criterion),5,6.1177,0.0898,0.1115
360,100,Regular(2-criterion),5,4.8869,0.2513,0.3121
540,10,GA-guided(4-criterion),5,5.9517,0.137,0.1702
540,10,Regular(2-criterion),5,4.7538,0.1044,0.1296
540,20,GA-guided(4-criterion),5,5.998,0.0833,0.1034
540,20,Regular(2-criterion),5,4.7281,0.0436,0.0541
540,30,GA-guided(4-criterion),5,6.0491,0.0925,0.1149
540,30,Regular(2-criterion),5,4.7463,0.0591,0.0734
540,50,GA-guided(4-criterion),5,6.082,0.1276,0.1584
540,50,Regular(2-criterion),5,4.7523,0.0481,0.0597
540,80,GA-guided(4-criterion),5,6.0921,0.1201,0.1491
540,80,Regular(2-criterion),5,4.7473,0.0385,0.0478
540,100,GA-guided(4-criterion),5,6.0901,0.1315,0.1632
540,100,Regular(2-criterion),5,4.7951,0.1192,0.148
720,10,GA-guided(4-criterion),5,5.9767,0.1993,0.2474
720,10,Regular(2-criterion),5,4.7586,0.0784,0.0974
720,20,GA-guided(4-criterion),5,5.9891,0.1582,0.1965
720,20,Regular(2-criterion),5,4.7177,0.0298,0.037
720,30,GA-guided(4-criterion),5,5.9799,0.1621,0.2012
720,30,Regular(2-criterion),5,4.7301,0.0527,0.0654
720,50,GA-guided(4-criterion),5,6.0266,0.1206,0.1497
