duration_int,return_period_int,model,n_seeds,n_dryrun_proxy_mean,n_dryrun_proxy_std,n_dryrun_proxy_ci95_half
60,10,GA-guided(4-criterion),5,1.144,1.1817,1.4673
60,10,Regular(2-criterion),5,47.076,5.0376,6.2551
60,20,GA-guided(4-criterion),5,0.888,1.0297,1.2786
60,20,Regular(2-criterion),5,43.8,3.5332,4.387
60,30,GA-guided(4-criterion),5,0.844,0.8996,1.117
60,30,Regular(2-criterion),5,42.076,3.7373,4.6405
60,50,GA-guided(4-criterion),5,0.808,0.9289,1.1534
60,50,Regular(2-criterion),5,40.408,2.9842,3.7054
60,80,GA-guided(4-criterion),5,0.804,0.8543,1.0608
60,80,Regular(2-criterion),5,38.164,3.526,4.3781
60,100,GA-guided(4-criterion),5,0.58,0.6951,0.8631
60,100,Regular(2-criterion),5,37.172,3.5266,4.3789
120,10,GA-guided(4-criterion),5,1.448,1.5059,1.8698
120,10,Regular(2-criterion),5,74.44,10.0021,12.4193
120,20,GA-guided(4-criterion),5,1.112,1.2704,1.5774
120,20,Regular(2-criterion),5,73.808,9.0746,11.2676
120,30,GA-guided(4-criterion),5,0.924,1.2966,1.61
120,30,Regular(2-criterion),5,71.688,8.1652,10.1384
120,50,GA-guided(4-criterion),5,0.828,1.1869,1.4737
120,50,Regular(2-criterion),5,67.212,6.8322,8.4832
120,80,GA-guided(4-criterion),5,0.828,1.0124,1.257
120,80,Regular(2-criterion),5,61.892,6.4037,7.9513
120,100,GA-guided(4-criterion),5,0.904,1.2213,1.5164
120,100,Regular(2-criterion),5,60.184,5.0139,6.2256
180,10,GA-guided(4-criterion),5,1.736,1.6145,2.0047
180,10,Regular(2-criterion),5,108.76,5.865,7.2824
180,20,GA-guided(4-criterion),5,2.064,1.3971,1.7347
180,20,Regular(2-criterion),5,105.684,8.5957,10.673
180,30,GA-guided(4-criterion),5,1.764,1.2689,1.5755
180,30,Regular(2-criterion),5,103.336,9.8566,12.2385
180,50,GA-guided(4-criterion),5,1.468,1.1981,1.4877
180,50,Regular(2-criterion),5,101.204,8.5882,10.6636
180,80,GA-guided(4-criterion),5,1.52,1.5976,1.9836
180,80,Regular(2-criterion),5,98.264,9.0749,11.268
180,100,GA-guided(4-criterion),5,1.22,1.3483,1.6741
180,100,Regular(2-criterion),5,94.76,7.3976,9.1853
240,10,GA-guided(4-criterion),5,1.96,1.8756,2.3289
240,10,Regular(2-criterion),5,141.048,3.903,4.8463
240,20,GA-guided(4-criterion),5,1.868,1.6606,2.0619
240,20,Regular(2-criterion),5,139.804,3.4027,4.225
