duration_int,return_period_int,model,n_seeds,n_intervals_170_mean,n_intervals_170_std,n_intervals_170_ci95_half
60,10,GA-guided(4-criterion),5,12.524,1.807,2.2437
60,10,Regular(2-criterion),5,38.348,8.3315,10.345
60,20,GA-guided(4-criterion),5,19.544,1.8227,2.2631
60,20,Regular(2-criterion),5,44.548,7.3058,9.0714
60,30,GA-guided(4-criterion),5,23.752,1.5199,1.8872
60,30,Regular(2-criterion),5,47.752,7.5534,9.3787
60,50,GA-guided(4-criterion),5,28.32,1.2295,1.5266
60,50,Regular(2-criterion),5,51.752,7.5349,9.3558
60,80,GA-guided(4-criterion),5,32.192,1.3192,1.638
60,80,Regular(2-criterion),5,55.176,8.0646,10.0135
60,100,GA-guided(4-criterion),5,33.812,1.4618,1.815
60,100,Regular(2-criterion),5,55.152,8.4665,10.5125
120,10,GA-guided(4-criterion),5,15.128,1.1994,1.4892
120,10,Regular(2-criterion),5,55.248,15.8872,19.7266
120,20,GA-guided(4-criterion),5,25.536,1.5894,1.9735
120,20,Regular(2-criterion),5,65.384,13.7593,17.0844
120,30,GA-guided(4-criterion),5,31.272,1.575,1.9556
120,30,Regular(2-criterion),5,69.988,12.9653,16.0986
120,50,GA-guided(4-criterion),5,38.224,1.5276,1.8967
120,50,Regular(2-criterion),5,74.504,12.2911,15.2614
120,80,GA-guided(4-criterion),5,44.596,1.3049,1.6202
120,80,Regular(2-criterion),5,77.532,11.4406,14.2054
120,100,GA-guided(4-criterion),5,47.156,1.4647,1.8186
120,100,Regular(2-criterion),5,80.5,10.5502,13.0998
180,10,GA-guided(4-criterion),5,12.408,1.4935,1.8544
180,10,Regular(2-criterion),5,62.252,21.1106,26.2123
180,20,GA-guided(4-criterion),5,23.928,1.3598,1.6884
180,20,Regular(2-criterion),5,76.256,20.3898,25.3173
180,30,GA-guided(4-criterion),5,31.504,1.9128,2.375
180,30,Regular(2-criterion),5,82.048,19.7924,24.5755
180,50,GA-guided(4-criterion),5,38.284,1.8879,2.3441
