duration_int,return_period_int,model,n_seeds,n_switches_mean,n_switches_std,n_switches_ci95_half
60,10,GA-guided(4-criterion),5,12.32,1.2512,1.5536
60,10,Regular(2-criterion),5,13.044,5.609,6.9644
60,20,GA-guided(4-criterion),5,12.164,0.7706,0.9569
60,20,Regular(2-criterion),5,13.884,5.3261,6.6132
60,30,GA-guided(4-criterion),5,11.62,1.039,1.2901
60,30,Regular(2-criterion),5,12.72,3.242,4.0255
60,50,GA-guided(4-criterion),5,11.496,1.1359,1.4104
60,50,Regular(2-criterion),5,12.456,2.906,3.6082
60,80,GA-guided(4-criterion),5,11.364,0.8719,1.0827
60,80,Regular(2-criterion),5,13.62,3.331,4.136
60,100,GA-guided(4-criterion),5,11.02,0.7716,0.9581
60,100,Regular(2-criterion),5,12.316,2.145,2.6634
120,10,GA-guided(4-criterion),5,13.552,1.9839,2.4634
120,10,Regular(2-criterion),5,16.868,4.24,5.2647
120,20,GA-guided(4-criterion),5,14.34,2.0763,2.5781
120,20,Regular(2-criterion),5,15.548,3.3194,4.1216
120,30,GA-guided(4-criterion),5,13.724,1.8549,2.3032
120,30,Regular(2-criterion),5,15.776,4.6932,5.8274
120,50,GA-guided(4-criterion),5,13.312,1.1955,1.4844
120,50,Regular(2-criterion),5,16.02,4.7783,5.933
120,80,GA-guided(4-criterion),5,12.816,1.2606,1.5652
120,80,Regular(2-criterion),5,15.104,3.9289,4.8784
120,100,GA-guided(4-criterion),5,12.496,1.3813,1.7152
120,100,Regular(2-criterion),5,15.652,5.2163,6.4768
180,10,GA-guided(4-criterion),5,15.3,1.9275,2.3934
180,10,Regular(2-criterion),5,17.252,3.3311,4.1361
180,20,GA-guided(4-criterion),5,15.788,3.188,3.9585
180,20,Regular(2-criterion),5,17.452,4.1258,5.1229
180,30,GA-guided(4-criterion),5,15.764,2.877,3.5723
180,30,Regular(2-criterion),5,17.544,2.7944,3.4697
180,50,GA-guided(4-criterion),5,16.236,2.8841,3.5811
180,50,Regular(2-criterion),5,17.008,2.349,2.9167
180,80,GA-guided(4-criterion),5,15.86,3.1847,3.9543
