condition,scenario,n_decisions,a_forward_pass_s,b_preprocessing_s,c_env_step_overhead_s,d_swmm_reset_s,ab_s,abc_s,abc_d_s
Regular(2-criterion),10yr_0060m_h193,58,0.042336140759289265,0.0015952438116073608,0.0026628386694937944,0.03582409303635359,0.043931384570896626,0.04659422324039042,0.08241831627674401
Regular(2-criterion),10yr_0120m_h345,88,0.008897311985492706,0.0023956457152962685,0.003807774977758527,0.050509794848039746,0.011292957700788975,0.015100732678547502,0.06561052752658725
Regular(2-criterion),10yr_0180m_h385,118,0.011271616211161017,0.003071599407121539,0.004894521087408066,0.0644848549272865,0.014343215618282557,0.019237736705690622,0.08372259163297713
Regular(2-criterion),10yr_0240m_h515,148,0.014146083034574986,0.0037875156849622726,0.0060491173062473536,0.07788492203690112,0.017933598719537258,0.02398271602578461,0.10186763806268573
Regular(2-criterion),10yr_0360m_h672,208,0.019727659411728382,0.005515649914741516,0.008854525862261653,0.10700750607065856,0.025243309326469898,0.03409783518873155,0.14110534125939012
Regular(2-criterion),10yr_0540m_h800,298,0.027117078891023993,0.00632717739790678,0.010900543536990881,0.1547289821319282,0.033444256288930774,0.044344799825921655,0.19907378195784986
Regular(2-criterion),10yr_0720m_h912,388,0.034857943654060364,0.009884817292913795,0.015590799739584327,0.19548121793195605,0.04474276094697416,0.060333560686558485,0.25581477861851454
Regular(2-criterion),10yr_1080m_h1061,568,0.05545800016261637,0.014944754773750901,0.024301169207319617,0.2857871789019555,0.07040275493636727,0.09470392414368689,0.3804911030456424
Regular(2-criterion),10yr_1440m_h1176,748,0.06695662788115442,0.019300980027765036,0.030672464054077864,0.3792684741783887,0.08625760790891945,0.11693007196299732,0.49619854614138603
Regular(2-criterion),100yr_0060m_h140,58,0.005685907322913408,0.0016941404901444912,0.002512082690373063,0.038326552137732506,0.0073800478130578995,0.009892130503430963,0.04821868264116347
Regular(2-criterion),100yr_0120m_h322,88,0.008456162409856915,0.0023689977824687958,0.003684764727950096,0.05418038903735578,0.010825160192325711,0.014509924920275807,0.06869031395763159
Regular(2-criterion),100yr_0180m_h465,118,0.011703274911269546,0.0032247682102024555,0.0051884225104004145,0.06798310996964574,0.014928043121472001,0.020116465631872416,0.08809957560151815
Regular(2-criterion),100yr_0240m_h602,148,0.013884830987080932,0.003934239037334919,0.006219691131263971,0.08419879386201501,0.01781907002441585,0.024038761155679822,0.10823755501769483
Regular(2-criterion),100yr_0360m_h670,208,0.018944948446005583,0.005527386674657464,0.008759852265939116,0.1224090619944036,0.024472335120663047,0.03323218738660216,0.15564124938100576
Regular(2-criterion),100yr_0540m_h862,298,0.02717734221369028,0.0077987967524677515,0.012435685144737363,0.16508354409597814,0.03497613896615803,0.047411824110895395,0.21249536820687354
Regular(2-criterion),100yr_0720m_h964,388,0.03561666188761592,0.008460099808871746,0.014466587919741869,0.20681682601571083,0.044076761696487665,0.058543349616229534,0.26536017563194036
Regular(2-criterion),100yr_1080m_h1077,568,0.05295960861258209,0.014262838521972299,0.02315642894245684,0.29205491091124713,0.06722244713455439,0.09037887607701123,0.38243378698825836
Regular(2-criterion),100yr_1440m_h1202,748,0.07856607367284596,0.021595377707853913,0.03485331148840487,0.398972513852641,0.10016145138069987,0.13501476286910474,0.5339872767217457
Regular(2-criterion),20yr_0060m_h225,58,0.005904126446694136,0.0016204160638153553,0.002616419456899166,0.03815905703231692,0.007524542510509491,0.010140961967408657,0.04830001899972558
Regular(2-criterion),20yr_0120m_h366,88,0.00897225015796721,0.002404245315119624,0.003913705004379153,0.05404044617898762,0.011376495473086834,0.015290200477465987,0.06933064665645361
Regular(2-criterion),20yr_0180m_h435,118,0.011849671136587858,0.003266312414780259,0.005205416586250067,0.07304678205400705,0.015115983551368117,0.020321400137618184,0.09336818219162524
Regular(2-criterion),20yr_0240m_h588,148,0.013794000260531902,0.003801910672336817,0.006116877309978008,0.08123451704159379,0.01759591093286872,0.023712788242846727,0.10494730528444052
Regular(2-criterion),20yr_0360m_h664,208,0.019826214527711272,0.005432915175333619,0.00882598734460771,0.11147602298296988,0.02525912970304489,0.0340851170476526,0.14556114003062248
Regular(2-criterion),20yr_0540m_h775,298,0.028065064223483205,0.00790621037594974,0.012683828361332417,0.15563941095024347,0.035971274599432945,0.04865510296076536,0.20429451391100883
Regular(2-criterion),20yr_0720m_h983,388,0.03516788827255368,0.009958530543372035,0.01579956547357142,0.20477677998133004,0.04512641881592572,0.06092598428949714,0.2657027642708272
Regular(2-criterion),20yr_1080m_h1084,568,0.054399457992985845,0.015036152908578515,0.024405779782682657,0.29584026290103793,0.06943561090156436,0.09384139068424702,0.38968165358528495
Regular(2-criterion),20yr_1440m_h1149,748,0.07035054382868111,0.019654819974675775,0.03156098141334951,0.384937064955011,0.09000536380335689,0.1215663452167064,0.5065034101717174
Regular(2-criterion),30yr_0060m_h214,58,0.005597368814051151,0.0015849389601498842,0.0024895090609788895,0.03755904198624194,0.0071823077742010355,0.009671816835179925,0.04723085882142186
Regular(2-criterion),30yr_0120m_h335,88,0.008638127474114299,0.0023796141613274813,0.003819903125986457,0.054200536105781794,0.01101774163544178,0.014837644761428237,0.06903818086721003
Regular(2-criterion),30yr_0180m_h490,118,0.011872924864292145,0.003220628947019577,0.005361516261473298,0.0686786959413439,0.015093553811311722,0.02045507007278502,0.08913376601412892
Regular(2-criterion),30yr_0240m_h619,148,0.013944171369075775,0.003704175353050232,0.006153846625238657,0.08318132208660245,0.017648346722126007,0.023802193347364664,0.10698351543396711
Regular(2-criterion),30yr_0360m_h687,208,0.01984132523648441,0.005552993388846517,0.008945763809606433,0.11957520502619445,0.025394318625330925,0.03434008243493736,0.1539152874611318
Regular(2-criterion),30yr_0540m_h753,298,0.027666395530104637,0.007821897976100445,0.012456127209588885,0.15775058302097023,0.03548829350620508,0.04794442071579397,0.2056950037367642
Regular(2-criterion),30yr_0720m_h988,388,0.03663705918006599,0.010126468958333135,0.016238361597061157,0.21085810288786888,0.046763528138399124,0.06300188973546028,0.27385999262332916
Regular(2-criterion),30yr_1080m_h1011,568,0.05078324838541448,0.014533889247104526,0.023181348806247115,0.28834908409044147,0.065317137632519,0.08849848643876612,0.3768475705292076
Regular(2-criterion),30yr_1440m_h1148,748,0.07115675369277596,0.01986519410274923,0.03185182809829712,0.379146222025156,0.0910219477955252,0.12287377589382231,0.5020199979189783
Regular(2-criterion),50yr_0060m_h244,58,0.0063299506437033415,0.0017184950411319733,0.0027386178262531757,0.0372194170486182,0.008048445684835315,0.01078706351108849,0.04800648055970669
Regular(2-criterion),50yr_0120m_h326,88,0.008293783525004983,0.002357953228056431,0.0037355723325163126,0.05482487683184445,0.010651736753061414,0.014387309085577726,0.06921218591742218
Regular(2-criterion),50yr_0180m_h411,118,0.011046006111428142,0.0032302779145538807,0.004948211368173361,0.06957904598675668,0.014276284025982022,0.019224495394155383,0.08880354138091207
Regular(2-criterion),50yr_0240m_h616,148,0.014247568789869547,0.00393779156729579,0.006416107760742307,0.0836272498127073,0.018185360357165337,0.024601468117907643,0.10822871793061495
Regular(2-criterion),50yr_0360m_h678,208,0.01868032943457365,0.005241739330813289,0.008494106121361256,0.1192488051019609,0.02392206876538694,0.032416174886748195,0.1516649799887091
Regular(2-criterion),50yr_0540m_h777,298,0.02826794353313744,0.007787023205310106,0.012466037180274725,0.15796960005536675,0.03605496673844755,0.04852100391872227,0.20649060397408903
Regular(2-criterion),50yr_0720m_h940,388,0.03746301378123462,0.010428003733977675,0.016906090546399355,0.20778653514571488,0.0478910175152123,0.06479710806161165,0.27258364320732653
Regular(2-criterion),50yr_1080m_h1083,568,0.05675070849247277,0.01544441794976592,0.025348592083901167,0.32456861692480743,0.07219512644223869,0.09754371852613986,0.4221123354509473
Regular(2-criterion),50yr_1440m_h1145,748,0.06971948710270226,0.019780003000050783,0.031465271255001426,0.4005217810627073,0.08949949010275304,0.12096476135775447,0.5214865424204618
Regular(2-criterion),80yr_0060m_h246,58,0.005958443274721503,0.0017516480293124914,0.0025183584075421095,0.038296571001410484,0.007710091304033995,0.010228449711576104,0.04852502071298659
Regular(2-criterion),80yr_0120m_h311,88,0.00840068724937737,0.002296540653333068,0.0036320204380899668,0.05554383900016546,0.010697227902710438,0.014329248340800405,0.06987308734096587
Regular(2-criterion),80yr_0180m_h396,118,0.011819486506283283,0.003302337834611535,0.0051588083151727915,0.07246658718213439,0.015121824340894818,0.02028063265606761,0.092747219838202
Regular(2-criterion),80yr_0240m_h578,148,0.017825639341026545,0.004680313635617495,0.007611493347212672,0.08649513684213161,0.02250595297664404,0.03011744632385671,0.11661258316598833
Regular(2-criterion),80yr_0360m_h677,208,0.019763688556849957,0.005469428142532706,0.008742922684177756,0.12501025712117553,0.025233116699382663,0.03397603938356042,0.15898629650473595
Regular(2-criterion),80yr_0540m_h850,298,0.02760220132768154,0.0076918331906199455,0.012429432012140751,0.1692833628039807,0.03529403451830149,0.04772346653044224,0.21700682933442295
Regular(2-criterion),80yr_0720m_h952,388,0.03563646459951997,0.010242347372695804,0.01606928720138967,0.20418469817377627,0.04587881197221577,0.06194809917360544,0.2661327973473817
Regular(2-criterion),80yr_1080m_h1070,568,0.0532943126745522,0.014762460254132748,0.024019091157242656,0.2925275939051062,0.06805677292868495,0.0920758640859276,0.3846034579910338
Regular(2-criterion),80yr_1440m_h1188,748,0.06700209784321487,0.019143524346873164,0.03063596086576581,0.38428560085594654,0.08614562219008803,0.11678158305585384,0.5010671839118004
