comparison,metric,seed_means_A,seed_means_B,seed_mean_diff,n_same_direction,seed_mean_of_diff,seed_sd_of_diff,seed_wilcoxon_p,scenario_n_pairs,scenario_mean_diff,scenario_wilcoxon_p,scenario_cliffs_delta
GA-guided-Regular,max_level_m,"[6.0014, 6.1578, 6.0645, 5.9082, 6.0323]","[6.2163, 6.2515, 6.1571, 6.3404, 6.1543]","[-0.2149, -0.0936, -0.0926, -0.4322, -0.122]",5,-0.19107633602876176,0.1437639033623549,0.0625,13500,-0.1910763360287617,0.0,-0.4173727352537723
GA-guided-Regular,n_switches,"[27.1522, 34.9633, 32.7326, 40.1081, 36.0207]","[37.7778, 31.2596, 44.47, 47.0222, 35.9581]","[-10.6256, 3.7037, -11.7374, -6.9141, 0.0626]",3,-5.102148148148148,6.74602372036041,0.3125,13500,-5.1021481481481485,0.0,-0.052499786008230465
GA-guided-Regular,n_intervals_100,"[307.8381, 311.4137, 308.5852, 323.6496, 309.9022]","[315.7222, 311.0956, 302.7367, 300.6763, 305.6667]","[-7.8841, 0.3181, 5.8485, 22.9733, 4.2356]",4,5.098296296296296,11.316093195043182,0.4375,13500,5.098296296296296,2.193747933529592e-255,0.015241152263374413
GA-guided-Regular,n_intervals_170,"[19.9333, 18.1011, 19.5456, 18.6822, 17.5519]","[21.5359, 18.5344, 19.4781, 23.3767, 22.2326]","[-1.6026, -0.4333, 0.0674, -4.6944, -4.6807]",4,-2.2687407407407405,2.2897513148104687,0.125,13500,-2.268740740740741,0.0,-0.10595387105624143
GA-guided-Regular,U,"[53.3945, 53.4665, 53.4082, 55.5327, 53.0844]","[55.0521, 53.5319, 52.4765, 53.1901, 53.6659]","[-1.6576, -0.0654, 0.9317, 2.3426, -0.5815]",2,0.193974537037037,1.5213374258787702,1.0,13500,0.19397453703703704,0.4672707470649793,0.000203083676268756
GA-guided-Regular,n_dryrun_proxy,"[3.8307, 3.1648, 2.7381, 12.6411, 1.9878]","[7.7741, 3.3844, 0.7915, 1.3074, 3.2619]","[-3.9433, -0.2196, 1.9467, 11.3337, -1.2741]",2,1.5686666666666667,5.855769695290265,1.0,13500,1.5686666666666667,2.969880946604408e-11,0.11281075994513023
PSO-guided-Regular,max_level_m,"[6.4603, 6.2027, 6.2393, 6.0803, 6.0414]","[6.2163, 6.2515, 6.1571, 6.3404, 6.1543]","[0.244, -0.0488, 0.0822, -0.2601, -0.113]",3,-0.019122404915127816,0.19187041650428246,0.8125,13500,-0.019122404915127813,7.292271486442336e-21,-0.0767766200274348
PSO-guided-Regular,n_switches,"[27.95, 39.8656, 34.6033, 25.7907, 34.5063]","[37.7778, 31.2596, 44.47, 47.0222, 35.9581]","[-9.8278, 8.6059, -9.8667, -21.2315, -1.4519]",4,-6.75437037037037,11.099260925851647,0.1875,13500,-6.754370370370371,0.0,-0.11546740192043892
PSO-guided-Regular,n_intervals_100,"[310.2885, 304.9, 311.8037, 304.5207, 306.6767]","[315.7222, 311.0956, 302.7367, 300.6763, 305.6667]","[-5.4337, -6.1956, 9.067, 3.8444, 1.01]",3,0.4584444444444443,6.420089597424438,1.0,13500,0.45844444444444443,0.023948724971593796,0.001839610425240057
PSO-guided-Regular,n_intervals_170,"[18.3874, 19.7496, 17.3078, 20.4, 20.8148]","[21.5359, 18.5344, 19.4781, 23.3767, 22.2326]","[-3.1485, 1.2152, -2.1704, -2.9767, -1.4178]",4,-1.6996296296296296,1.7696952648944533,0.125,13500,-1.6996296296296296,0.0,-0.0914872647462277
PSO-guided-Regular,U,"[53.3667, 52.8866, 53.3167, 53.0001, 53.4472]","[55.0521, 53.5319, 52.4765, 53.1901, 53.6659]","[-1.6853, -0.6453, 0.8402, -0.19, -0.2188]",4,-0.37983217592592605,0.9117728522505227,0.4375,13500,-0.37983217592592594,5.888672699868773e-284,-0.010261854595336128
PSO-guided-Regular,n_dryrun_proxy,"[2.5711, 2.2344, 2.8819, 0.2633, 2.8359]","[7.7741, 3.3844, 0.7915, 1.3074, 3.2619]","[-5.203, -1.15, 2.0904, -1.0441, -0.4259]",4,-1.1465185185185183,2.620207619602247,0.4375,13500,-1.1465185185185185,2.5833339103850955e-136,-0.08848893278463654
GA-guided-PSO-guided,max_level_m,"[6.0014, 6.1578, 6.0645, 5.9082, 6.0323]","[6.4603, 6.2027, 6.2393, 6.0803, 6.0414]","[-0.4589, -0.0449, -0.1748, -0.1721, -0.0091]",5,-0.17195393111363394,0.17679904045525585,0.0625,13500,-0.17195393111363394,0.0,-0.30608899314128946
GA-guided-PSO-guided,n_switches,"[27.1522, 34.9633, 32.7326, 40.1081, 36.0207]","[27.95, 39.8656, 34.6033, 25.7907, 34.5063]","[-0.7978, -4.9022, -1.8707, 14.3174, 1.5144]",2,1.6522222222222223,7.446482533800792,1.0,13500,1.6522222222222223,2.3376127844352665e-52,0.0678417229080932
GA-guided-PSO-guided,n_intervals_100,"[307.8381, 311.4137, 308.5852, 323.6496, 309.9022]","[310.2885, 304.9, 311.8037, 304.5207, 306.6767]","[-2.4504, 6.5137, -3.2185, 19.1289, 3.2256]",3,4.6398518518518514,9.048052070410595,0.3125,13500,4.6398518518518514,6.516761305467226e-209,0.013444109739368937
GA-guided-PSO-guided,n_intervals_170,"[19.9333, 18.1011, 19.5456, 18.6822, 17.5519]","[18.3874, 19.7496, 17.3078, 20.4, 20.8148]","[1.5459, -1.6485, 2.2378, -1.7178, -3.263]",3,-0.5691111111111111,2.3501808528605332,0.625,13500,-0.5691111111111111,2.8619945158518005e-89,-0.008449360768175596
GA-guided-PSO-guided,U,"[53.3945, 53.4665, 53.4082, 55.5327, 53.0844]","[53.3667, 52.8866, 53.3167, 53.0001, 53.4472]","[0.0278, 0.5799, 0.0915, 2.5326, -0.3627]",4,0.5738067129629629,1.145075597244953,0.3125,13500,0.5738067129629629,7.039441197550203e-220,0.010503813443072607
GA-guided-PSO-guided,n_dryrun_proxy,"[3.8307, 3.1648, 2.7381, 12.6411, 1.9878]","[2.5711, 2.2344, 2.8819, 0.2633, 2.8359]","[1.2596, 0.9304, -0.1437, 12.3778, -0.8481]",3,2.7151851851851854,5.466728720916493,0.3125,13500,2.7151851851851854,6.546810393671919e-178,0.21280390672153637
GA-guided-GA-only,max_level_m,"[6.0014, 6.1578, 6.0645, 5.9082, 6.0323]","[6.3377, 6.3377, 6.3377, 6.3377, 6.3377]","[-0.3363, -0.1799, -0.2733, -0.4295, -0.3054]",5,-0.3048870565986971,0.09103295518265757,0.0625,13500,-0.304887056598697,0.0,-0.8459846090534979
GA-guided-GA-only,n_switches,"[27.1522, 34.9633, 32.7326, 40.1081, 36.0207]","[72.0659, 72.0659, 72.0659, 72.0659, 72.0659]","[-44.9137, -37.1026, -39.3333, -31.9578, -36.0452]",5,-37.87051851851852,4.759945898010714,0.0625,13500,-37.870518518518516,0.0,-0.3243542935528121
GA-guided-GA-only,n_intervals_100,"[307.8381, 311.4137, 308.5852, 323.6496, 309.9022]","[257.6281, 257.6281, 257.6281, 257.6281, 257.6281]","[50.21, 53.7856, 50.957, 66.0215, 52.2741]",5,54.649629629629636,6.501047108863297,0.0625,13500,54.64962962962963,0.0,0.20107415637860093
GA-guided-GA-only,n_intervals_170,"[19.9333, 18.1011, 19.5456, 18.6822, 17.5519]","[45.1237, 45.1237, 45.1237, 45.1237, 45.1237]","[-25.1904, -27.0226, -25.5781, -26.4415, -27.5719]",5,-26.360888888888887,0.9866071817793272,0.0625,13500,-26.36088888888889,0.0,-0.6936185459533608
GA-guided-GA-only,U,"[53.3945, 53.4665, 53.4082, 55.5327, 53.0844]","[52.2404, 52.2404, 52.2404, 52.2404, 52.2404]","[1.1541, 1.2261, 1.1678, 3.2923, 0.8441]",5,1.5368935185185184,0.9925866318067704,0.0625,13500,1.5368935185185184,0.0,0.0371480658436214
GA-guided-GA-only,n_dryrun_proxy,"[3.8307, 3.1648, 2.7381, 12.6411, 1.9878]","[0.3315, 0.3315, 0.3315, 0.3315, 0.3315]","[3.4993, 2.8333, 2.4067, 12.3096, 1.6563]",5,4.541037037037038,4.394025767072942,0.0625,13500,4.541037037037037,0.0,0.5568752263374486
GA-guided-PSO-only,max_level_m,"[6.0014, 6.1578, 6.0645, 5.9082, 6.0323]","[6.3377, 6.3377, 6.3377, 6.3377, 6.3377]","[-0.3363, -0.1799, -0.2733, -0.4295, -0.3054]",5,-0.3048653661736082,0.09102726179708918,0.0625,13500,-0.3048653661736082,0.0,-0.8459654705075446
GA-guided-PSO-only,n_switches,"[27.1522, 34.9633, 32.7326, 40.1081, 36.0207]","[72.1541, 72.1541, 72.2526, 72.2363, 72.1619]","[-45.0019, -37.1907, -39.52, -32.1281, -36.1411]",5,-37.99637037037037,4.741446933802287,0.0625,13500,-37.99637037037037,0.0,-0.3253541015089163
