combo_id,w1,w2,w3,w4,mean_max_level_m,mean_n_switches,any_overflow,is_nondominated,is_adopted
c00,0.419,0.272,0.215,0.094,5.9157,87.5330,False,True,False
c01,0.201,0.488,0.148,0.164,10.0000,0.0000,True,False,False
c02,0.115,0.123,0.632,0.13,10.0000,0.0000,True,False,False
c03,0.054,0.439,0.326,0.18,10.0000,0.0000,True,False,False
c04,0.183,0.412,0.156,0.249,10.0000,0.0000,True,False,False
c05,0.11,0.398,0.093,0.399,10.0000,0.0000,True,False,False
c06,0.265,0.233,0.353,0.149,10.0000,0.0000,True,False,False
c07,0.309,0.178,0.213,0.3,6.3859,52.6170,False,True,False
c08,0.117,0.234,0.534,0.116,10.0000,0.0000,True,False,False
c09,0.489,0.173,0.289,0.05,5.4617,97.1502,False,True,False
c10,0.135,0.069,0.355,0.44,10.0000,0.0000,True,False,False
c11,0.134,0.411,0.217,0.237,10.0000,0.0000,True,False,False
c12,0.342,0.32,0.112,0.226,6.3803,47.4667,False,True,False
c13,0.348,0.224,0.37,0.059,8.6926,15.2670,False,True,False
c14,0.373,0.166,0.184,0.278,5.5514,112.4165,False,True,False
c15,0.187,0.313,0.281,0.219,10.0000,0.0000,True,False,False
c16,0.583,0.074,0.264,0.08,5.1797,116.8170,False,True,False
c17,0.047,0.336,0.531,0.085,10.0000,0.0000,True,False,False
c18,0.122,0.048,0.434,0.395,10.0000,0.0000,True,False,False
c19,0.143,0.557,0.214,0.086,10.0000,0.0000,True,False,False
c20,0.087,0.421,0.285,0.207,10.0000,0.0000,True,False,False
c21,0.257,0.304,0.135,0.303,8.7000,15.4000,False,False,False
c22,0.585,0.1,0.131,0.184,5.1828,117.5170,False,True,False
c23,0.413,0.167,0.025,0.395,5.1828,117.5170,False,True,False
c24,0.4,0.25,0.25,0.1,6.3220,60.4002,False,True,True
c25,1.0,0.0,0.0,0.0,4.9174,334.1415,False,True,False
c26,0.0,1.0,0.0,0.0,10.0000,0.0000,True,False,False
c27,0.0,0.0,1.0,0.0,10.0000,0.0000,True,False,False
c28,0.0,0.0,0.0,1.0,8.3879,298.0000,True,False,False
