episode,regular_loss_mean_5seed_raw,ga_guided_loss_mean_5seed_raw,regular_loss_mean_5seed_smoothed_roll100,ga_guided_loss_mean_5seed_smoothed_roll100
0,0.064927,nan,0.015930,nan
1,0.030184,0.019827,0.015398,0.005486
2,0.030995,0.007824,0.015214,0.005337
3,0.027814,0.006749,0.015030,0.005307
4,0.023540,0.006058,0.014873,0.005288
5,0.021348,0.005282,0.014756,0.005263
6,0.020279,0.005686,0.014676,0.005254
7,0.020433,0.006113,0.014594,0.005239
8,0.020815,0.006807,0.014520,0.005220
9,0.020243,0.006039,0.014431,0.005195
10,0.017614,0.005586,0.014362,0.005171
11,0.020711,0.005435,0.014312,0.005168
12,0.019455,0.005652,0.014229,0.005156
13,0.018181,0.005322,0.014157,0.005139
14,0.016654,0.005944,0.014098,0.005127
15,0.016629,0.006459,0.014050,0.005097
16,0.014270,0.005851,0.014000,0.005068
17,0.018249,0.006391,0.013979,0.005048
18,0.016798,0.007004,0.013904,0.005023
19,0.016884,0.006716,0.013850,0.004991
20,0.017915,0.005822,0.013789,0.004959
21,0.016749,0.005944,0.013725,0.004952
22,0.018177,0.007482,0.013677,0.004940
23,0.016035,0.006549,0.013630,0.004919
24,0.016835,0.006604,0.013598,0.004900
25,0.016310,0.006096,0.013559,0.004876
26,0.014848,0.006411,0.013537,0.004856
27,0.018336,0.006610,0.013523,0.004838
28,0.015656,0.006062,0.013477,0.004819
29,0.016020,0.006654,0.013443,0.004800
30,0.016332,0.005581,0.013409,0.004798
31,0.015656,0.006904,0.013390,0.004803
32,0.015144,0.005693,0.013359,0.004789
33,0.014259,0.005514,0.013341,0.004783
34,0.013854,0.004841,0.013320,0.004781
35,0.013725,0.005736,0.013304,0.004783
36,0.016946,0.007404,0.013282,0.004775
37,0.016194,0.005887,0.013223,0.004737
38,0.014222,0.005712,0.013175,0.004727
39,0.016356,0.006263,0.013147,0.004720
40,0.015632,0.005438,0.013099,0.004704
41,0.013635,0.005825,0.013055,0.004700
42,0.015040,0.006188,0.013035,0.004681
43,0.014359,0.005160,0.013005,0.004657
44,0.014830,0.004983,0.012983,0.004644
45,0.013983,0.005758,0.012957,0.004631
46,0.015702,0.005563,0.012964,0.004608
47,0.013829,0.006413,0.012931,0.004598
48,0.015618,0.005742,0.012917,0.004576
49,0.014511,0.004702,0.012888,0.004565
50,0.013844,0.004616,0.012876,0.004566
51,0.014110,0.004368,0.012856,0.004560
52,0.014295,0.004663,0.012842,0.004558
53,0.012616,0.005592,0.012830,0.004556
54,0.013964,0.004823,0.012827,0.004541
55,0.013346,0.004136,0.012814,0.004532
56,0.013535,0.005302,0.012804,0.004529
57,0.013539,0.004337,0.012799,0.004526
58,0.015790,0.005012,0.012796,0.004524
59,0.014211,0.005009,0.012772,0.004515
60,0.013090,0.004426,0.012756,0.004499
61,0.012638,0.004635,0.012756,0.004500
62,0.013463,0.004666,0.012758,0.004491
63,0.013478,0.004698,0.012742,0.004489
64,0.013457,0.003982,0.012741,0.004482
65,0.014821,0.004355,0.012737,0.004479
66,0.012343,0.004426,0.012710,0.004484
67,0.013109,0.003779,0.012721,0.004480
68,0.013424,0.004054,0.012712,0.004481
69,0.014159,0.005061,0.012702,0.004479
70,0.013693,0.005156,0.012683,0.004463
71,0.013633,0.003853,0.012664,0.004448
72,0.012891,0.004597,0.012645,0.004448
73,0.013646,0.004933,0.012641,0.004439
