episode,regular_reward_mean_5seed_raw,ga_guided_reward_mean_5seed_raw,regular_reward_mean_5seed_smoothed_roll100,ga_guided_reward_mean_5seed_smoothed_roll100
0,129.474412,144.827530,120.891898,143.311120
1,113.209572,139.519017,121.238804,143.906372
2,190.415992,243.306327,120.982040,143.484256
3,101.858471,120.305705,120.252318,142.451443
4,191.336099,242.586489,120.294280,142.488688
5,91.910372,106.471974,119.282137,141.114938
6,122.621250,147.433966,119.387442,141.211994
7,85.326964,93.338940,119.748958,141.755721
8,98.585848,114.452592,119.796414,141.780413
9,155.462473,184.279306,120.242411,142.368878
10,104.328667,120.228808,120.025800,142.155009
11,139.634177,175.696099,120.245948,142.464787
12,119.930996,140.865313,120.346383,142.456300
13,126.210556,156.241302,120.503673,142.716873
14,100.625948,119.433871,120.778861,142.991880
15,130.806250,155.651885,121.081321,143.340108
16,98.583929,109.480167,120.887926,143.029374
17,105.918652,122.375471,121.690606,144.172822
18,112.262493,126.855300,121.839421,144.407003
19,95.558842,109.440786,121.618079,144.051642
20,141.076174,176.877647,121.527726,143.929394
21,92.121337,95.319953,120.657921,142.684438
22,83.630188,87.415910,121.176404,143.499332
23,85.811316,97.263493,121.065071,143.432291
24,120.949003,142.316573,121.197008,143.573047
25,132.723196,163.050091,121.105404,143.504446
26,138.416658,165.350860,120.265482,142.335100
27,88.099718,88.100645,119.699090,141.532828
28,126.657136,161.342911,119.872183,141.807592
29,143.692376,188.029957,119.536712,141.169136
30,120.387661,144.490897,119.382149,140.804731
31,127.704534,148.314205,118.743937,139.899467
32,116.317089,132.194845,118.757248,139.990221
33,135.042576,156.671255,119.010524,140.355628
34,137.901614,163.214760,118.926444,140.258152
35,120.378560,128.898061,119.162994,140.596571
36,43.443039,41.063582,119.109598,140.626817
37,86.030876,92.008638,120.106517,141.939291
38,89.301398,95.817917,120.256027,142.199097
39,131.381615,162.594435,120.638336,142.830626
40,156.821738,192.292581,120.410547,142.530676
41,104.987524,129.760037,120.053512,142.039959
42,69.605724,81.063249,120.171412,142.114205
43,148.711185,177.119027,120.400014,142.347863
44,120.144095,140.826232,119.986683,141.808045
45,123.534490,150.058117,119.837243,141.559658
46,136.957721,164.261821,119.224924,140.724117
47,101.480837,117.159659,119.503479,141.140286
48,130.099702,157.399309,119.603115,141.280680
49,151.193001,195.300076,119.778452,141.436703
50,150.590797,182.732066,119.470121,140.971846
51,176.091439,215.429442,119.503732,140.982560
52,95.736567,107.129336,118.475885,139.554238
53,108.858266,131.163073,119.146031,140.448321
54,155.111245,193.260400,119.020986,140.240880
55,92.098364,110.941383,118.476099,139.454400
56,121.324155,142.340402,118.215141,139.066009
57,113.479082,125.510065,117.971006,138.674675
58,99.949984,114.850536,118.179052,139.027617
59,98.374281,108.554820,118.660943,139.635394
60,220.653472,283.833150,119.002191,140.200716
61,90.502123,95.818257,118.117696,138.972288
62,112.414295,126.363379,118.579440,139.718066
63,181.971281,229.042888,118.333645,139.413244
64,148.407141,187.350381,117.683336,138.466607
65,91.856590,110.743568,117.906926,138.708382
66,155.959373,189.345430,117.499401,138.105395
67,157.507352,196.483628,117.501153,138.156782
68,101.229053,115.039856,117.538955,138.162818
69,95.587965,105.802790,117.864379,138.646984
70,73.607173,70.476958,118.371978,139.388015
71,123.332511,144.208301,118.721700,139.983090
72,166.089756,207.104138,118.513749,139.623895
73,118.923464,138.160651,118.254852,139.221185
74,144.094965,170.518259,118.229221,139.253818
75,157.814543,191.827814,117.844030,138.687694
76,122.322297,150.781901,117.265180,138.025071
77,97.259909,113.157761,117.320081,138.022897
78,76.738245,80.158056,117.578128,138.302772
79,116.320283,133.952360,117.863184,138.619215
80,155.818564,187.376067,117.990531,138.873186
81,142.762598,181.608364,117.729942,138.552209
82,86.773455,92.394700,117.483916,138.119320
83,76.603342,90.286844,118.109383,138.946267
84,110.044349,125.156732,118.543702,139.424749
85,133.589659,167.680855,118.582163,139.528823
86,138.595741,157.963934,118.107351,138.774992
87,104.712484,127.213158,118.293544,139.156896
88,95.660441,105.766968,118.697308,139.676749
89,112.838023,122.736575,119.030274,140.211199
90,102.061195,118.665754,119.497336,140.894247
91,151.638059,188.363442,119.750463,141.301401
92,137.881722,174.272077,119.561858,141.006115
93,157.398435,195.862610,119.074348,140.168915
94,112.558937,133.001753,118.459323,139.276473
95,93.513340,101.560497,118.588499,139.452336
96,149.630730,181.688427,118.309255,139.131549
97,85.830021,86.978202,117.758312,138.332483
98,95.508818,107.093518,117.572212,138.150846
99,162.899881,204.992851,117.267992,137.749403
100,164.164973,204.352807,117.367351,137.818125
101,87.533164,97.307347,116.832786,137.126048
102,117.443799,140.025074,116.806086,137.005202
103,106.054680,124.030164,117.103231,137.445851
104,90.121782,105.211509,117.482781,137.872946
105,102.440882,116.177566,117.267569,137.526984
106,158.772858,201.806645,117.648055,137.909169
107,90.072552,95.808162,117.446369,137.652522
108,143.185632,173.299049,117.521383,137.861887
109,133.801370,162.892451,117.435573,137.698550
110,126.343445,151.206581,117.896258,138.327743
111,149.677679,174.847467,117.542804,137.863599
112,135.660014,166.922561,116.707101,136.817300
113,153.729307,183.741987,116.645926,136.659713
114,130.871990,154.256740,116.029243,135.866358
115,111.466718,124.578462,115.647642,135.348276
116,178.851921,223.824916,115.879712,135.671690
117,120.800197,145.793616,114.716301,134.073134
118,90.128296,91.319163,114.553984,133.807261
119,86.523537,97.215970,114.998604,134.488948
120,54.095645,52.382058,115.331798,134.924196
121,143.969632,176.809431,115.914166,135.749055
122,72.496921,80.711772,116.345789,136.321638
123,99.004948,111.339104,117.062396,137.242877
124,111.788638,135.456424,117.419454,137.813596
125,48.731015,46.115497,118.063178,138.607424
126,81.777453,85.123668,118.591149,139.357996
127,105.409012,115.577109,118.647384,139.440954
128,93.109987,97.497255,118.284296,138.968182
129,128.236079,151.589503,118.950925,139.970407
130,56.566486,53.964411,118.999304,140.048612
131,129.035635,157.389656,119.897684,141.240950
132,141.644717,168.735552,120.590978,142.241538
133,126.634544,146.923617,119.960176,141.348600
134,161.556662,197.056687,119.866110,141.237173
135,115.038915,131.922670,119.234138,140.376745
136,143.134994,172.310987,119.458696,140.745466
137,100.981807,117.989256,119.270273,140.445581
138,127.532291,158.970772,119.597134,140.914215
139,108.602751,132.599481,119.617402,140.879712
140,121.118253,143.220861,119.848866,141.118716
141,116.777535,137.184590,120.423829,141.905665
142,92.465896,104.429082,120.010179,141.334804
143,107.378112,123.137226,120.383138,141.854763
144,105.200016,115.987554,120.625806,142.230642
145,62.302642,66.504004,121.235653,143.148240
146,164.813183,205.878689,122.220161,144.532904
147,111.444423,131.199042,121.895463,143.979787
148,147.633454,173.001645,122.254191,144.470877
149,120.359911,148.814419,121.964718,144.138003
150,153.951843,183.803411,122.150937,144.268649
151,73.306767,72.597296,121.801807,143.760003
152,162.751133,196.537570,122.419644,144.684912
153,96.353836,110.418983,122.138401,144.371215
154,100.622564,114.612443,123.122356,145.722342
155,66.002472,72.102304,123.860508,146.750663
156,96.910696,103.206913,124.063204,146.985506
157,134.283714,160.804354,124.208929,147.126358
158,148.139041,175.628225,124.383883,147.466782
159,132.499090,165.086942,124.164643,147.188005
160,132.203972,160.990365,123.610265,146.323524
161,136.676577,170.396041,124.202498,147.099670
162,87.834740,95.881234,124.425677,147.275928
163,116.940361,134.379143,125.217204,148.365251
