time_min,inflow_volume,outflow_volume,water_level,action
0,0.000000,0.000000,4.700000,0
2,0.000000,0.000000,4.700000,0
4,0.000000,0.000000,4.700000,0
6,0.000000,0.000000,4.700000,0
8,1.389642,0.000000,4.701529,0
10,3.034117,4.423759,4.700000,2
12,8.136204,8.136204,4.700000,3
14,20.244202,20.244202,4.700000,2
16,43.957416,43.957416,4.700000,2
18,78.666651,78.666651,4.700000,3
20,124.022514,124.022514,4.700000,3
22,183.081515,183.081515,4.700000,2
24,258.375936,258.375936,4.700000,2
26,355.042551,355.042551,4.700000,2
28,477.339053,400.000000,4.785073,2
30,619.112092,600.000000,4.806096,3
32,816.916471,913.367616,4.700000,4
34,957.609546,940.000000,4.719371,4
36,1125.777521,940.000000,4.923726,4
38,1234.849374,1280.000000,4.874060,5
40,1353.185375,1280.000000,4.954564,5
42,1380.276241,1280.000000,5.064868,5
44,1421.364033,1280.000000,5.220368,5
46,1398.032894,1280.000000,5.350204,5
48,1344.595687,1280.000000,5.421260,5
50,1308.902449,1280.000000,5.453052,5
52,1172.821426,1280.000000,5.335156,5
54,1108.923429,1280.000000,5.146972,5
56,1013.839946,1280.000000,4.854196,5
58,916.661620,1056.839541,4.700000,5
60,820.659843,820.659843,4.700000,5
62,744.109477,744.109477,4.700000,5
64,661.321664,661.321664,4.700000,4
66,571.465349,571.465349,4.700000,4
68,502.253058,502.253058,4.700000,4
70,444.377708,444.377708,4.700000,4
72,395.107751,395.107751,4.700000,4
74,353.424427,353.424427,4.700000,4
76,318.107074,318.107074,4.700000,4
78,287.934756,287.934756,4.700000,4
80,262.057868,262.057868,4.700000,4
82,239.610813,239.610813,4.700000,4
84,219.669920,219.669920,4.700000,2
86,202.121512,202.121512,4.700000,2
88,186.642140,186.642140,4.700000,2
90,173.070962,173.070962,4.700000,4
92,160.982837,160.982837,4.700000,3
94,150.213623,150.213623,4.700000,3
96,140.586165,140.586165,4.700000,3
98,131.870730,131.870730,4.700000,3
100,123.985701,123.985701,4.700000,3
102,116.852185,116.852185,4.700000,3
104,110.305886,110.305886,4.700000,3
106,104.313315,104.313315,4.700000,3
108,98.845381,98.845381,4.700000,4
110,93.775173,93.775173,4.700000,4
112,89.057590,89.057590,4.700000,4
114,84.644048,84.644048,4.700000,4
116,80.566190,80.566190,4.700000,4
