time_min,inflow_volume,outflow_volume,water_level,action
0,0.000000,0.000000,4.700000,0
2,0.000000,0.000000,4.700000,0
4,0.000000,0.000000,4.700000,0
6,0.000000,0.000000,4.700000,0
8,1.389642,0.000000,4.701529,0
10,3.034117,0.000000,4.704866,0
12,8.136204,0.000000,4.713816,0
14,20.244202,0.000000,4.736085,0
16,43.957416,0.000000,4.784438,0
18,78.666651,0.000000,4.870971,0
20,124.022514,0.000000,5.007396,0
22,183.081515,0.000000,5.208785,0
24,258.375936,0.000000,5.492999,0
26,355.042551,0.000000,5.826990,0
28,477.339053,200.000000,5.925547,1
30,619.112092,600.000000,5.932339,3
32,816.916471,940.000000,5.888599,4
34,957.609546,1280.000000,5.719621,5
36,1125.777521,1280.000000,5.549976,5
38,1234.849374,1280.000000,5.500310,5
40,1353.185375,1280.000000,5.580814,5
42,1380.276241,1280.000000,5.691118,5
44,1421.364033,1280.000000,5.815061,5
46,1398.032894,1280.000000,5.857005,5
48,1344.595687,1280.000000,5.879961,5
50,1308.902449,1280.000000,5.890232,5
52,1172.821426,1280.000000,5.852144,5
54,1108.923429,1280.000000,5.773222,5
56,1013.839946,940.000000,5.817589,4
58,916.661620,940.000000,5.809296,4
60,820.659843,940.000000,5.697500,4
62,744.109477,940.000000,5.482020,4
64,661.321664,940.000000,5.175474,4
66,571.465349,600.000000,5.144086,3
68,502.253058,600.000000,5.036564,3
70,444.377708,400.000000,5.085380,2
72,395.107751,400.000000,5.079998,2
74,353.424427,400.000000,5.028765,2
76,318.107074,400.000000,4.938683,2
78,287.934756,400.000000,4.815411,2
80,262.057868,200.000000,4.883675,1
82,239.610813,200.000000,4.927246,1
84,219.669920,200.000000,4.948883,1
86,202.121512,200.000000,4.951217,1
88,186.642140,200.000000,4.936523,1
90,173.070962,200.000000,4.906901,1
92,160.982837,200.000000,4.863983,1
94,150.213623,200.000000,4.809218,1
96,140.586165,200.000000,4.743862,1
98,131.870730,0.000000,4.888920,0
100,123.985701,0.000000,5.025304,0
102,116.852185,0.000000,5.153842,0
104,110.305886,0.000000,5.275178,0
106,104.313315,200.000000,5.169923,1
108,98.845381,200.000000,5.058653,1
110,93.775173,200.000000,4.941806,1
112,89.057590,200.000000,4.819769,1
114,84.644048,193.524860,4.700000,1
116,80.566190,80.566190,4.700000,1
