episode,Regular_loss_mean_5seed_raw,Regular_loss_mean_5seed_smoothed_roll100,GA-guided_loss_mean_5seed_raw,GA-guided_loss_mean_5seed_smoothed_roll100,PSO-guided_loss_mean_5seed_raw,PSO-guided_loss_mean_5seed_smoothed_roll100
0,0.036038,0.007463,nan,nan,nan,nan
1,0.014830,0.007157,0.019827,0.005486,0.019368,0.005501
2,0.012250,0.007062,0.007824,0.005337,0.008057,0.005357
3,0.010782,0.006999,0.006749,0.005307,0.006958,0.005324
4,0.009096,0.006944,0.006058,0.005288,0.006102,0.005303
5,0.008025,0.006909,0.005282,0.005263,0.005205,0.005277
6,0.007863,0.006893,0.005686,0.005254,0.005554,0.005267
7,0.008292,0.006872,0.006113,0.005239,0.006070,0.005254
8,0.008661,0.006852,0.006807,0.005220,0.006595,0.005238
9,0.008518,0.006819,0.006039,0.005195,0.005943,0.005214
10,0.007601,0.006798,0.005586,0.005171,0.005653,0.005192
11,0.009483,0.006783,0.005435,0.005168,0.005525,0.005188
12,0.008478,0.006752,0.005652,0.005156,0.005732,0.005178
13,0.008047,0.006725,0.005322,0.005139,0.005298,0.005162
14,0.007744,0.006700,0.005944,0.005127,0.005892,0.005154
15,0.008214,0.006677,0.006459,0.005097,0.006550,0.005126
16,0.006444,0.006647,0.005851,0.005068,0.005630,0.005097
17,0.008568,0.006639,0.006391,0.005048,0.006502,0.005081
18,0.007875,0.006601,0.007004,0.005023,0.007034,0.005054
19,0.007996,0.006572,0.006716,0.004991,0.006942,0.005020
20,0.008930,0.006539,0.005822,0.004959,0.005956,0.004986
21,0.007834,0.006503,0.005944,0.004952,0.005936,0.004981
22,0.009229,0.006480,0.007482,0.004940,0.007445,0.004969
23,0.007799,0.006453,0.006549,0.004919,0.006512,0.004946
24,0.008210,0.006433,0.006604,0.004900,0.006736,0.004931
25,0.007786,0.006409,0.006096,0.004876,0.006089,0.004909
26,0.007131,0.006398,0.006411,0.004856,0.006309,0.004892
27,0.008866,0.006393,0.006610,0.004838,0.006405,0.004877
28,0.007232,0.006377,0.006062,0.004819,0.006114,0.004862
29,0.008013,0.006368,0.006654,0.004800,0.006400,0.004840
30,0.007810,0.006353,0.005581,0.004798,0.005601,0.004837
31,0.007513,0.006352,0.006904,0.004803,0.007008,0.004839
32,0.007869,0.006341,0.005693,0.004789,0.005643,0.004819
33,0.006861,0.006335,0.005514,0.004783,0.005520,0.004811
34,0.006655,0.006334,0.004841,0.004781,0.004919,0.004808
35,0.006316,0.006334,0.005736,0.004783,0.005750,0.004808
36,0.008816,0.006333,0.007404,0.004775,0.007332,0.004800
37,0.008345,0.006299,0.005887,0.004737,0.005802,0.004762
38,0.007018,0.006275,0.005712,0.004727,0.005869,0.004755
39,0.008707,0.006264,0.006263,0.004720,0.006157,0.004748
40,0.007944,0.006235,0.005438,0.004704,0.005652,0.004732
41,0.006882,0.006208,0.005825,0.004700,0.005672,0.004722
42,0.007176,0.006198,0.006188,0.004681,0.006474,0.004706
43,0.007080,0.006184,0.005160,0.004657,0.005173,0.004681
44,0.007204,0.006177,0.004983,0.004644,0.004927,0.004669
45,0.006931,0.006166,0.005758,0.004631,0.005877,0.004656
46,0.007486,0.006176,0.005563,0.004608,0.005701,0.004634
47,0.006966,0.006168,0.006413,0.004598,0.006359,0.004626
48,0.007781,0.006159,0.005742,0.004576,0.005851,0.004609
49,0.006989,0.006145,0.004702,0.004565,0.004924,0.004596
50,0.006506,0.006144,0.004616,0.004566,0.004635,0.004587
