episode,Regular_reward_mean_5seed_raw,Regular_reward_mean_5seed_smoothed_roll100,GA-guided_reward_mean_5seed_raw,GA-guided_reward_mean_5seed_smoothed_roll100,PSO-guided_reward_mean_5seed_raw,PSO-guided_reward_mean_5seed_smoothed_roll100
0,99.770905,92.878259,144.827530,143.311120,142.734044,143.317130
1,87.429314,93.124811,139.519017,143.906372,138.985736,143.922916
2,141.774419,92.964473,243.306327,143.484256,243.965544,143.507672
3,77.833964,92.434768,120.305705,142.451443,119.214718,142.466953
4,141.159268,92.485499,242.586489,142.488688,243.122653,142.507199
5,72.463735,91.780732,106.471974,141.114938,106.064613,141.143507
6,94.488070,91.864124,147.433966,141.211994,146.822654,141.235457
7,69.541633,92.085826,93.338940,141.755721,92.879792,141.782932
8,77.543053,92.126730,114.452592,141.780413,114.754043,141.801842
9,119.878396,92.434736,184.279306,142.368878,185.335248,142.398603
10,82.028621,92.249272,120.228808,142.155009,119.250020,142.170536
11,102.592154,92.383301,175.696099,142.464787,175.542956,142.501600
12,92.333291,92.514500,140.865313,142.456300,141.357256,142.499964
13,93.993041,92.595346,156.241302,142.716873,155.947716,142.764653
14,78.366903,92.826055,119.433871,142.991880,119.317817,143.044427
15,99.602269,93.025999,155.651885,143.340108,156.123895,143.388332
16,76.382951,92.913911,109.480167,143.029374,109.757124,143.065530
17,81.238148,93.481535,122.375471,144.172822,121.190857,144.211593
18,86.482651,93.581347,126.855300,144.407003,127.426753,144.466597
19,73.613008,93.454158,109.440786,144.051642,108.744586,144.096368
20,106.318410,93.402381,176.877647,143.929394,176.858093,143.987935
21,73.561290,92.803104,95.319953,142.684438,96.563211,142.746570
22,66.011563,93.166176,87.415910,143.499332,86.364703,143.558286
23,66.993865,93.083120,97.263493,143.432291,97.980575,143.508062
24,90.847406,93.166275,142.316573,143.573047,143.249880,143.641896
25,100.285059,93.109330,163.050091,143.504446,163.348171,143.560847
26,105.032830,92.513390,165.350860,142.335100,164.438669,142.386283
27,71.055252,92.116024,88.100645,141.532828,88.579248,141.605018
28,94.303750,92.243351,161.342911,141.807592,160.423776,141.871578
29,105.915984,92.045136,188.029957,141.169136,186.733581,141.246383
30,92.012947,91.989870,144.490897,140.804731,144.746911,140.912607
31,101.284374,91.549494,148.314205,139.899467,148.615119,139.999972
32,89.289846,91.534580,132.194845,139.990221,132.804122,140.092745
33,103.005995,91.750024,156.671255,140.355628,157.615461,140.431940
34,104.901730,91.693150,163.214760,140.258152,162.309152,140.330734
35,95.926804,91.897553,128.898061,140.596571,129.720777,140.680985
36,36.941150,91.843039,41.063582,140.626817,40.852096,140.713882
37,66.686452,92.573384,92.008638,141.939291,91.923542,142.041505
38,74.315588,92.710570,95.817917,142.199097,96.555451,142.295468
39,101.290325,92.922199,162.594435,142.830626,161.864557,142.898548
40,118.658742,92.726403,192.292581,142.530676,191.268845,142.613510
41,79.265567,92.481241,129.760037,142.039959,129.942497,142.120387
42,52.590311,92.575064,81.063249,142.114205,81.439063,142.199013
43,113.052443,92.776892,177.119027,142.347863,175.907962,142.437616
44,93.296377,92.491508,140.826232,141.808045,139.401514,141.923507
45,94.185479,92.387014,150.058117,141.559658,150.103768,141.688556
46,105.757402,91.958711,164.261821,140.724117,165.445919,140.849718
47,80.186187,92.139644,117.159659,141.140286,116.675769,141.251375
48,100.806707,92.207873,157.399309,141.280680,156.807783,141.394357
49,111.709143,92.342500,195.300076,141.436703,195.002094,141.568990
50,113.456911,92.148164,182.732066,140.971846,184.314097,141.117336
51,131.105353,92.165882,215.429442,140.982560,215.387768,141.106405
52,77.191845,91.466543,107.129336,139.554238,106.478616,139.676826
53,82.055095,91.911292,131.163073,140.448321,129.644383,140.592550
54,114.788171,91.840294,193.260400,140.240880,192.794600,140.407695
55,69.768686,91.493073,110.941383,139.454400,110.294685,139.626649
56,93.897728,91.319725,142.340402,139.066009,140.860017,139.238246
57,91.613025,91.164267,125.510065,138.674675,125.192587,138.848452
58,79.311395,91.263991,114.850536,139.027617,117.422556,139.208789
59,76.424432,91.621236,108.554820,139.635394,108.603030,139.804540
60,165.202306,91.858204,283.833150,140.200716,283.819391,140.374212
61,74.524555,91.225210,95.818257,138.972288,96.178471,139.149868
62,87.511659,91.503865,126.363379,139.718066,127.545540,139.899328
63,132.607438,91.348873,229.042888,139.413244,230.141128,139.580789
64,109.872979,90.928566,187.350381,138.466607,188.003604,138.629619
65,70.031686,91.082421,110.743568,138.708382,111.424159,138.897139
66,121.551873,90.803170,189.345430,138.105395,189.276590,138.285415
67,116.505631,90.772823,196.483628,138.156782,196.711597,138.333394
68,78.524964,90.853592,115.039856,138.162818,114.401560,138.348631
69,78.931612,91.086093,105.802790,138.646984,105.557559,138.843345
70,62.207536,91.406960,70.476958,139.388015,70.023973,139.605457
71,96.152670,91.619334,144.208301,139.983090,143.619938,140.208703
72,125.023121,91.482104,207.104138,139.623895,209.385356,139.861440
73,92.443309,91.314595,138.160651,139.221185,136.969476,139.431066
74,110.125148,91.309025,170.518259,139.253818,169.132127,139.468728
75,120.381449,91.067572,191.827814,138.687694,192.141095,138.910216
76,93.097472,90.630168,150.781901,138.025071,150.378114,138.235119
77,74.151330,90.681391,113.157761,138.022897,114.599401,138.241648
78,61.171722,90.914110,80.158056,138.302772,80.934498,138.509553
79,88.068488,91.160957,133.952360,138.619215,134.688718,138.807686
80,119.000495,91.283914,187.376067,138.873186,188.428001,139.066053
81,108.098622,91.101942,181.608364,138.552209,181.640692,138.732784
82,69.157464,90.925904,92.394700,138.119320,94.113831,138.285170
83,59.574196,91.391696,90.286844,138.946267,90.256335,139.110054
84,86.494971,91.743818,125.156732,139.424749,127.065950,139.596284
85,101.134294,91.776192,167.680855,139.528823,167.825283,139.674663
86,108.806887,91.460512,157.963934,138.774992,157.468612,138.920565
87,79.792038,91.559297,127.213158,139.156896,127.039099,139.297780
88,75.573875,91.852985,105.766968,139.676749,104.921875,139.803566
89,89.571881,92.080826,122.736575,140.211199,121.388920,140.329579
90,79.790421,92.419154,118.665754,140.894247,118.284614,141.001549
91,114.708020,92.591393,188.363442,141.301401,187.213771,141.394237
92,105.781994,92.434217,174.272077,141.006115,173.123690,141.103636
93,115.677473,92.105427,195.862610,140.168915,195.527918,140.267597
94,87.616655,91.717565,133.001753,139.276473,132.970781,139.378582
95,75.984683,91.805290,101.560497,139.452336,101.650421,139.561314
96,111.411053,91.568899,181.688427,139.131549,184.631969,139.243909
97,70.332512,91.218159,86.978202,138.332483,87.147122,138.412443
98,76.870839,91.067794,107.093518,138.150846,106.878748,138.237460
99,120.743195,90.841534,204.992851,137.749403,206.130400,137.848410
100,124.426035,90.945129,204.352807,137.818125,203.312673,137.895648
101,71.395546,90.555799,97.307347,137.126048,97.461313,137.217011
102,88.803948,90.548074,140.025074,137.005202,139.893658,137.094059
103,82.907011,90.789945,124.030164,137.445851,123.239331,137.540784
104,70.682553,91.084327,105.211509,137.872946,106.753446,137.966841
105,80.803013,90.953191,116.177566,137.526984,115.259567,137.609257
106,116.658248,91.267742,201.806645,137.909169,201.570144,138.012063
107,73.632024,91.141591,95.808162,137.652522,94.770836,137.743721
108,108.343656,91.151430,173.299049,137.861887,174.430125,137.960965
109,101.332007,91.116555,162.892451,137.698550,162.528526,137.791029
110,95.431458,91.439874,151.206581,138.327743,152.356491,138.440346
111,115.712124,91.202628,174.847467,137.863599,175.379274,137.964316
112,100.417893,90.559408,166.922561,136.817300,167.826173,136.922532
113,117.063944,90.568557,183.741987,136.659713,183.925158,136.751903
114,98.361309,90.118710,154.256740,135.866358,153.708249,135.944217
115,88.393441,89.875637,124.578462,135.348276,123.843693,135.421301
116,133.145372,90.038944,223.824916,135.671690,224.363469,135.739368
117,91.219330,89.226759,145.793616,134.073134,146.691280,134.144912
118,73.763774,89.141616,91.319163,133.807261,90.403856,133.863500
119,68.435318,89.433382,97.215970,134.488948,97.901260,134.559230
120,46.390689,89.671209,52.382058,134.924196,52.721612,135.006803
121,109.868519,90.081888,176.809431,135.749055,177.734802,135.821647
122,57.705896,90.389297,80.711772,136.321638,81.342303,136.377988
123,75.309391,90.937805,111.339104,137.242877,111.364013,137.282116
124,85.152911,91.214016,135.456424,137.813596,135.144976,137.844968
125,40.691051,91.717692,46.115497,138.607424,45.891725,138.642383
126,65.296264,92.104825,85.123668,139.357996,86.312213,139.401815
127,83.787900,92.157871,115.577109,139.440954,115.235183,139.487401
128,74.482247,91.889892,97.497255,138.968182,97.904328,139.024970
129,100.389436,92.353759,151.589503,139.970407,153.356003,140.026047
130,47.975265,92.364330,53.964411,140.048612,53.483315,140.081596
131,99.793030,93.005107,157.389656,141.240950,157.892461,141.285402
