model,seed,episode,return_period_year,train_reward
Regular,1,0,50,57.202942
Regular,1,1,30,59.888092
Regular,1,2,30,101.588993
Regular,1,3,30,101.008072
Regular,1,4,20,151.015270
Regular,1,5,20,38.553846
Regular,1,6,100,132.871310
Regular,1,7,50,195.521729
Regular,1,8,80,90.138228
Regular,1,9,80,164.975650
Regular,1,10,50,126.113116
Regular,1,11,80,157.589159
Regular,1,12,20,23.920864
Regular,1,13,30,102.710231
Regular,1,14,10,33.373092
Regular,1,15,80,205.381987
Regular,1,16,80,125.049278
Regular,1,17,80,123.240060
Regular,1,18,30,97.792968
Regular,1,19,50,105.873974
Regular,1,20,30,103.335388
Regular,1,21,30,123.661520
Regular,1,22,80,172.003601
Regular,1,23,50,105.457299
Regular,1,24,10,94.994595
Regular,1,25,80,110.134236
Regular,1,26,80,54.472828
Regular,1,27,20,47.338929
Regular,1,28,50,67.489701
Regular,1,29,10,207.813011
Regular,1,30,10,56.828229
Regular,1,31,20,27.528566
Regular,1,32,30,209.515957
Regular,1,33,10,212.034177
Regular,1,34,30,104.892713
Regular,1,35,50,39.583982
Regular,1,36,80,67.961726
Regular,1,37,30,40.624654
Regular,1,38,50,113.622114
Regular,1,39,10,215.550719
Regular,1,40,50,230.513775
Regular,1,41,10,100.863259
Regular,1,42,80,45.554414
Regular,1,43,100,144.208543
Regular,1,44,80,115.857349
Regular,1,45,100,31.162460
Regular,1,46,20,24.320778
Regular,1,47,80,56.966788
Regular,1,48,80,240.722848
Regular,1,49,20,185.180084
Regular,1,50,20,24.387357
Regular,1,51,30,43.513605
Regular,1,52,30,26.839778
Regular,1,53,50,28.626489
Regular,1,54,30,85.432664
Regular,1,55,50,251.130459
Regular,1,56,80,57.522011
Regular,1,57,10,35.976115
Regular,1,58,50,68.604009
Regular,1,59,10,112.188629
Regular,1,60,80,204.763532
Regular,1,61,50,149.679382
Regular,1,62,80,263.240538
Regular,1,63,20,108.407204
Regular,1,64,10,34.437083
Regular,1,65,10,47.768145
Regular,1,66,100,70.951925
Regular,1,67,100,58.925344
Regular,1,68,50,249.287216
Regular,1,69,100,125.524238
Regular,1,70,10,38.716340
Regular,1,71,10,26.847477
Regular,1,72,80,69.361993
Regular,1,73,50,148.104963
Regular,1,74,10,39.484051
Regular,1,75,80,274.838829
Regular,1,76,100,46.299483
Regular,1,77,20,146.679267
Regular,1,78,20,116.334761
Regular,1,79,10,204.882216
Regular,1,80,100,212.675498
Regular,1,81,50,158.536537
Regular,1,82,50,47.090698
Regular,1,83,100,156.137951
Regular,1,84,50,275.830925
Regular,1,85,30,54.885130
Regular,1,86,10,67.686257
Regular,1,87,30,92.239754
Regular,1,88,20,214.244628
Regular,1,89,100,98.506577
Regular,1,90,50,124.309835
Regular,1,91,80,58.906290
Regular,1,92,80,103.033821
Regular,1,93,20,54.993213
Regular,1,94,50,165.248732
Regular,1,95,20,128.610306
Regular,1,96,30,91.983851
Regular,1,97,30,65.880180
Regular,1,98,50,221.885335
Regular,1,99,50,30.037115
Regular,1,100,30,66.182956
Regular,1,101,80,72.217476
Regular,1,102,30,233.040106
Regular,1,103,10,235.776407
Regular,1,104,80,101.514565
Regular,1,105,80,167.264177
Regular,1,106,50,320.756906
Regular,1,107,30,101.113505
Regular,1,108,80,96.763967
Regular,1,109,20,94.847485
Regular,1,110,20,44.525707
Regular,1,111,100,243.027741
Regular,1,112,80,60.769816
Regular,1,113,20,134.730967
Regular,1,114,80,331.242155
Regular,1,115,20,74.317631
Regular,1,116,10,316.602721
Regular,1,117,10,130.769870
Regular,1,118,100,101.526830
Regular,1,119,30,59.131908
Regular,1,120,80,332.558561
Regular,1,121,100,63.382193
Regular,1,122,100,344.121980
Regular,1,123,20,58.731215
Regular,1,124,20,44.365403
Regular,1,125,50,143.260813
Regular,1,126,10,140.631335
Regular,1,127,10,100.985366
Regular,1,128,20,70.242765
Regular,1,129,20,175.965606
Regular,1,130,20,29.454425
Regular,1,131,10,101.453744
Regular,1,132,10,257.111360
Regular,1,133,30,178.392319
Regular,1,134,30,103.359785
Regular,1,135,20,72.205230
Regular,1,136,50,47.527889
Regular,1,137,80,76.465538
