seed,scenario_id,Regular_cum_reward,GA-guided_cum_reward,diff_GA_minus_Regular
1,100yr_0060m_h126,33.340606,33.747658,0.407053
1,100yr_0060m_h129,33.517521,33.821246,0.303725
1,100yr_0060m_h131,33.425799,33.682155,0.256356
1,100yr_0060m_h134,33.318335,33.671729,0.353395
1,100yr_0060m_h140,33.381057,33.635967,0.254910
1,100yr_0060m_h141,33.447886,33.815075,0.367190
1,100yr_0060m_h142,33.539917,33.773547,0.233630
1,100yr_0060m_h144,33.258934,33.902380,0.643446
1,100yr_0060m_h145,33.476138,33.744142,0.268005
1,100yr_0060m_h147,33.534614,33.791874,0.257260
1,100yr_0060m_h150,33.261629,33.729067,0.467438
1,100yr_0060m_h151,33.309836,33.956135,0.646299
1,100yr_0060m_h152,33.264482,33.704025,0.439543
1,100yr_0060m_h155,33.847074,34.037212,0.190138
1,100yr_0060m_h157,33.758851,34.096828,0.337977
1,100yr_0060m_h160,33.750958,34.032688,0.281730
1,100yr_0060m_h167,33.847074,34.037212,0.190138
1,100yr_0060m_h175,33.868217,33.981248,0.113031
1,100yr_0060m_h176,33.916275,34.241458,0.325183
1,100yr_0060m_h181,33.958061,34.260974,0.302913
1,100yr_0060m_h184,33.876897,34.131155,0.254258
1,100yr_0060m_h185,33.964179,34.229190,0.265011
1,100yr_0060m_h189,33.743398,34.106260,0.362862
1,100yr_0060m_h190,33.793662,34.131259,0.337597
1,100yr_0060m_h196,33.854779,34.024172,0.169393
1,100yr_0060m_h197,33.903819,33.886443,-0.017377
1,100yr_0060m_h198,33.815096,34.172381,0.357285
1,100yr_0060m_h199,33.878052,34.108693,0.230641
1,100yr_0060m_h200,33.785768,34.032244,0.246475
1,100yr_0060m_h201,33.948627,33.960779,0.012152
1,100yr_0060m_h204,33.937829,33.922587,-0.015242
1,100yr_0060m_h205,33.767648,33.998986,0.231338
1,100yr_0060m_h206,34.102278,33.890407,-0.211871
1,100yr_0060m_h208,33.634011,33.799940,0.165930
1,100yr_0060m_h216,33.743589,33.925965,0.182377
1,100yr_0060m_h217,33.952009,34.004929,0.052920
1,100yr_0060m_h221,34.020324,34.060773,0.040449
1,100yr_0060m_h224,33.839758,34.013585,0.173828
1,100yr_0060m_h225,34.037197,34.077956,0.040759
1,100yr_0060m_h226,33.799566,33.973443,0.173877
1,100yr_0060m_h228,33.787424,33.992989,0.205566
1,100yr_0060m_h230,34.024901,34.047352,0.022451
1,100yr_0060m_h231,33.774833,33.948378,0.173544
1,100yr_0060m_h236,33.905022,34.119887,0.214865
1,100yr_0060m_h238,33.900171,33.959792,0.059621
1,100yr_0060m_h240,34.000296,34.213118,0.212823
1,100yr_0060m_h241,34.097587,34.120826,0.023239
1,100yr_0060m_h244,33.868321,34.042518,0.174196
1,100yr_0060m_h245,33.903062,33.982747,0.079685
1,100yr_0060m_h247,33.920962,34.047371,0.126409
1,100yr_0120m_h254,51.099724,51.338849,0.239125
1,100yr_0120m_h260,50.718550,51.335738,0.617188
1,100yr_0120m_h261,50.804371,51.133159,0.328788
1,100yr_0120m_h263,50.848408,51.197514,0.349106
1,100yr_0120m_h265,50.715278,51.288293,0.573015
1,100yr_0120m_h267,50.279106,51.199673,0.920567
1,100yr_0120m_h268,50.819768,51.303950,0.484182
1,100yr_0120m_h270,50.779307,51.183236,0.403929
1,100yr_0120m_h274,50.716176,51.194349,0.478173
1,100yr_0120m_h275,50.585574,51.148063,0.562489
1,100yr_0120m_h277,50.928893,51.342525,0.413632
1,100yr_0120m_h280,51.612176,51.711317,0.099141
1,100yr_0120m_h281,51.478700,51.648106,0.169406
1,100yr_0120m_h283,51.466088,51.503563,0.037475
1,100yr_0120m_h287,51.468245,51.534873,0.066628
1,100yr_0120m_h291,51.314261,51.329592,0.015331
1,100yr_0120m_h292,51.331215,51.493393,0.162178
1,100yr_0120m_h294,51.591102,51.659382,0.068280
1,100yr_0120m_h295,51.476674,51.655236,0.178561
1,100yr_0120m_h297,51.652581,51.534524,-0.118058
1,100yr_0120m_h298,51.451143,51.692053,0.240910
1,100yr_0120m_h299,51.214307,51.331171,0.116864
1,100yr_0120m_h300,51.419976,51.481294,0.061318
1,100yr_0120m_h302,51.828713,51.621830,-0.206883
1,100yr_0120m_h305,51.176833,51.211870,0.035036
1,100yr_0120m_h309,51.701929,51.558704,-0.143225
1,100yr_0120m_h313,51.526591,51.818956,0.292365
1,100yr_0120m_h316,51.583389,51.755054,0.171666
1,100yr_0120m_h318,51.670097,51.613813,-0.056284
1,100yr_0120m_h319,51.530125,51.326232,-0.203893
1,100yr_0120m_h320,51.145449,51.708153,0.562704
1,100yr_0120m_h321,51.108332,51.622190,0.513858
1,100yr_0120m_h322,51.547900,51.612604,0.064704
1,100yr_0120m_h326,51.504713,51.386284,-0.118430
1,100yr_0120m_h331,51.699911,51.711853,0.011942
1,100yr_0120m_h332,51.574478,51.494355,-0.080124
1,100yr_0120m_h335,51.700207,51.652102,-0.048106
1,100yr_0120m_h344,51.455597,51.580637,0.125040
1,100yr_0120m_h347,51.553490,51.673532,0.120042
1,100yr_0120m_h348,51.697717,51.784270,0.086553
1,100yr_0120m_h349,51.504631,51.853288,0.348657
1,100yr_0120m_h350,51.463097,51.607263,0.144167
1,100yr_0120m_h353,51.789914,51.976902,0.186989
1,100yr_0120m_h354,51.681293,51.845467,0.164174
1,100yr_0120m_h357,51.657593,51.837081,0.179488
1,100yr_0120m_h364,51.434802,51.819728,0.384925
1,100yr_0120m_h366,51.512962,51.893963,0.381001
1,100yr_0120m_h367,51.554957,51.670206,0.115249
1,100yr_0120m_h370,51.355053,51.675651,0.320598
1,100yr_0120m_h371,51.687109,51.881899,0.194789
1,100yr_0180m_h372,64.549168,67.547109,2.997941
1,100yr_0180m_h373,65.071775,67.702228,2.630452
1,100yr_0180m_h375,65.188526,67.317851,2.129326
1,100yr_0180m_h380,64.442961,67.608798,3.165837
1,100yr_0180m_h381,65.236632,67.620186,2.383554
1,100yr_0180m_h385,65.055359,67.581520,2.526161
1,100yr_0180m_h386,65.196955,67.542057,2.345102
1,100yr_0180m_h394,65.177779,67.654282,2.476503
1,100yr_0180m_h400,64.684757,67.686728,3.001972
1,100yr_0180m_h401,65.995026,67.323382,1.328357
1,100yr_0180m_h403,64.817440,67.735511,2.918071
1,100yr_0180m_h404,66.547684,67.832873,1.285189
1,100yr_0180m_h405,66.120271,67.542625,1.422355
1,100yr_0180m_h409,64.438201,67.489039,3.050838
1,100yr_0180m_h412,66.479972,67.938727,1.458755
1,100yr_0180m_h415,65.348812,67.491373,2.142561
1,100yr_0180m_h417,64.448409,67.496093,3.047685
1,100yr_0180m_h420,64.569709,67.471843,2.902135
1,100yr_0180m_h424,66.446179,67.751317,1.305138
1,100yr_0180m_h428,65.347636,67.504307,2.156672
1,100yr_0180m_h430,64.653714,67.661160,3.007446
1,100yr_0180m_h433,64.952838,67.839579,2.886741
1,100yr_0180m_h436,66.207506,67.618811,1.411305
1,100yr_0180m_h437,65.921977,67.522365,1.600388
1,100yr_0180m_h438,65.907665,67.848723,1.941058
1,100yr_0180m_h440,66.688488,67.690605,1.002117
1,100yr_0180m_h443,66.248964,67.925115,1.676151
1,100yr_0180m_h444,65.767044,67.712062,1.945018
1,100yr_0180m_h445,66.849925,68.024957,1.175032
1,100yr_0180m_h447,65.861953,67.814839,1.952886
1,100yr_0180m_h453,65.780966,67.749249,1.968284
1,100yr_0180m_h459,65.765301,67.725674,1.960373
1,100yr_0180m_h460,66.723070,67.723501,1.000431
1,100yr_0180m_h465,67.303032,68.160694,0.857662
1,100yr_0180m_h466,67.364124,67.976077,0.611953
1,100yr_0180m_h468,67.403315,68.018459,0.615144
1,100yr_0180m_h469,67.436469,68.023418,0.586948
1,100yr_0180m_h470,67.592077,68.251320,0.659243
1,100yr_0180m_h472,67.553467,68.206772,0.653305
1,100yr_0180m_h473,67.138308,67.944909,0.806601
1,100yr_0180m_h474,67.534311,68.096091,0.561780
1,100yr_0180m_h476,67.504802,68.194609,0.689807
1,100yr_0180m_h479,67.196209,68.029657,0.833448
1,100yr_0180m_h480,67.378156,67.953285,0.575129
1,100yr_0180m_h483,67.462795,68.072935,0.610139
1,100yr_0180m_h484,67.307072,68.115604,0.808532
1,100yr_0180m_h490,67.509774,68.009098,0.499324
1,100yr_0180m_h491,67.340728,67.967051,0.626323
1,100yr_0180m_h493,67.497499,68.102186,0.604686
1,100yr_0180m_h495,67.074655,68.017781,0.943127
1,100yr_0240m_h497,82.023622,83.523681,1.500059
1,100yr_0240m_h508,81.972283,83.941791,1.969508
1,100yr_0240m_h512,81.885226,84.325462,2.440236
1,100yr_0240m_h513,82.289628,83.953369,1.663741
1,100yr_0240m_h514,82.470945,84.265628,1.794683
1,100yr_0240m_h515,82.247607,84.182755,1.935149
1,100yr_0240m_h518,82.165636,84.201865,2.036229
1,100yr_0240m_h519,81.502431,83.805915,2.303485
1,100yr_0240m_h521,81.599708,84.142845,2.543137
1,100yr_0240m_h522,82.548666,83.801209,1.252543
1,100yr_0240m_h525,81.565495,83.734942,2.169447
