Model,Duration (min),10,20,30,50,80,100
Regular,60,38.35,44.55,47.75,51.75,55.18,55.15
GA-guided,60,12.52,19.54,23.75,28.32,32.19,33.81
Regular,120,55.25,65.38,69.99,74.50,77.53,80.50
GA-guided,120,15.13,25.54,31.27,38.22,44.60,47.16
Regular,180,62.25,76.26,82.05,90.53,98.60,98.21
GA-guided,180,12.41,23.93,31.50,38.28,47.18,50.94
Regular,240,73.48,88.56,94.50,104.17,110.97,113.96
GA-guided,240,9.19,21.46,29.40,39.39,48.14,52.94
Regular,360,89.25,105.54,115.20,130.03,140.66,143.31
GA-guided,360,2.95,13.12,21.86,33.47,45.47,49.69
Regular,540,100.73,117.62,127.16,139.21,158.98,165.14
GA-guided,540,0.12,1.98,5.57,14.37,24.78,29.05
Regular,720,102.96,126.77,136.79,148.28,157.50,160.84
GA-guided,720,0.12,0.12,0.10,1.26,2.60,6.15
Regular,1080,101.84,113.66,139.66,155.22,171.61,179.52
GA-guided,1080,0.26,0.28,0.28,0.32,0.20,0.12
Regular,1440,123.78,131.63,133.42,138.70,153.41,172.42
GA-guided,1440,0.46,0.38,0.35,0.33,0.30,0.30
