Model	Duration (min)	10	20	30	50	80	100
Regular	60	6.068	6.349	6.417	6.514	6.629	6.713
GA-guided	60	5.923	5.909	5.944	6.034	6.184	6.299
PSO-guided	60	6.140	6.210	6.265	6.437	6.529	6.686
GA	60	6.412	6.373	6.465	6.469	6.721	6.734
PSO	60	6.412	6.373	6.465	6.469	6.721	6.734
Regular	120	5.999	6.325	6.419	6.496	6.621	6.690
GA-guided	120	5.939	5.967	5.972	6.035	6.227	6.307
PSO-guided	120	6.192	6.301	6.380	6.457	6.628	6.713
GA	120	6.347	6.368	6.371	6.370	6.389	6.463
PSO	120	6.347	6.368	6.371	6.370	6.389	6.463
Regular	180	6.016	6.156	6.315	6.409	6.487	6.544
GA-guided	180	5.972	5.990	6.029	6.026	6.036	6.111
PSO-guided	180	6.157	6.243	6.346	6.395	6.444	6.522
GA	180	6.281	6.298	6.303	6.317	6.323	6.335
PSO	180	6.281	6.298	6.303	6.317	6.323	6.335
Regular	240	6.038	6.064	6.183	6.341	6.455	6.506
GA-guided	240	6.011	6.026	6.031	6.047	6.054	6.060
PSO-guided	240	6.168	6.213	6.263	6.338	6.377	6.420
GA	240	6.313	6.311	6.324	6.287	6.315	6.326
PSO	240	6.313	6.311	6.324	6.287	6.315	6.326
Regular	360	6.036	6.067	6.088	6.149	6.285	6.367
GA-guided	360	6.000	6.059	6.056	6.073	6.105	6.118
PSO-guided	360	6.081	6.226	6.210	6.260	6.337	6.379
GA	360	6.301	6.308	6.295	6.330	6.304	6.320
PSO	360	6.301	6.308	6.295	6.330	6.304	6.320
Regular	540	6.068	6.075	6.072	6.103	6.105	6.119
GA-guided	540	5.952	5.998	6.049	6.082	6.092	6.090
PSO-guided	540	6.040	6.096	6.157	6.278	6.251	6.253
GA	540	6.303	6.299	6.304	6.303	6.300	6.313
PSO	540	6.303	6.299	6.304	6.303	6.300	6.313
Regular	720	6.080	6.104	6.089	6.098	6.108	6.112
GA-guided	720	5.977	5.989	5.980	6.027	6.050	6.103
PSO-guided	720	5.939	6.047	6.043	6.083	6.114	6.212
GA	720	6.293	6.304	6.306	6.303	6.300	6.290
PSO	720	6.293	6.304	6.306	6.303	6.300	6.290
Regular	1080	6.085	6.080	6.087	6.104	6.126	6.123
GA-guided	1080	5.966	5.955	5.975	6.012	6.017	6.015
PSO-guided	1080	5.886	5.900	5.925	5.991	6.078	6.069
GA	1080	6.290	6.293	6.298	6.296	6.293	6.296
PSO	1080	6.290	6.293	6.298	6.296	6.292	6.296
Regular	1440	6.116	6.107	6.096	6.097	6.093	6.099
GA-guided	1440	5.999	5.981	5.978	5.978	5.974	5.990
PSO-guided	1440	5.891	5.878	5.885	5.902	5.908	5.915
GA	1440	6.301	6.301	6.296	6.295	6.292	6.293
PSO	1440	6.301	6.301	6.295	6.295	6.292	6.293
