Model	Duration (min)	10	20	30	50	80	100
Regular	60	0.43	0.28	0.28	0.23	0.48	0.61
GA-guided	60	1.18	1.03	0.90	0.93	0.85	0.70
PSO-guided	60	0.29	0.46	0.37	0.56	0.38	0.36
GA	60	0.00	0.00	0.00	0.00	0.00	0.00
PSO	60	0.01	0.00	0.00	0.00	0.00	0.01
Regular	120	0.97	0.81	0.70	0.73	0.41	0.43
GA-guided	120	1.51	1.27	1.30	1.19	1.01	1.22
PSO-guided	120	0.37	0.23	0.32	0.30	0.31	0.29
GA	120	0.00	0.00	0.00	0.00	0.00	0.00
PSO	120	0.00	0.01	0.00	0.00	0.00	0.00
Regular	180	1.31	2.21	1.00	1.23	0.92	0.76
GA-guided	180	1.61	1.40	1.27	1.20	1.60	1.35
PSO-guided	180	0.78	0.93	0.50	0.67	0.81	1.23
GA	180	0.00	0.00	0.00	0.00	0.00	0.00
PSO	180	0.00	0.00	0.01	0.00	0.01	0.00
Regular	240	1.65	2.60	2.43	1.73	1.43	1.47
GA-guided	240	1.88	1.66	1.44	1.71	1.49	1.45
PSO-guided	240	0.86	0.78	1.05	0.64	0.63	0.75
GA	240	0.00	0.00	0.00	0.00	0.00	0.00
PSO	240	0.01	0.01	0.00	0.01	0.00	0.01
Regular	360	2.52	2.42	3.00	5.16	2.75	2.18
GA-guided	360	1.64	1.62	1.34	2.04	1.67	1.70
PSO-guided	360	1.43	1.25	1.21	1.67	0.78	0.81
GA	360	0.00	0.00	0.00	0.00	0.00	0.00
PSO	360	0.02	0.00	0.01	0.01	0.01	0.01
Regular	540	3.68	3.27	3.44	2.97	2.68	3.21
GA-guided	540	1.69	1.30	1.39	1.47	1.32	1.54
PSO-guided	540	1.75	1.45	1.63	1.53	1.47	1.57
GA	540	0.00	0.00	0.00	0.00	0.00	0.00
PSO	540	0.03	0.03	0.03	0.01	0.03	0.02
Regular	720	4.71	3.85	3.97	3.30	3.56	3.66
GA-guided	720	1.98	2.18	1.58	2.06	1.72	1.84
PSO-guided	720	4.42	1.89	1.63	1.69	1.88	1.90
GA	720	0.00	0.00	0.00	0.00	0.00	0.00
PSO	720	0.02	0.03	0.02	0.02	0.02	0.02
Regular	1080	5.42	5.48	6.15	5.71	4.51	5.05
GA-guided	1080	19.30	12.09	7.74	5.49	3.08	2.14
PSO-guided	1080	2.98	1.91	9.15	3.14	2.26	2.23
GA	1080	0.00	0.00	0.00	0.00	0.00	0.00
PSO	1080	0.02	0.05	0.03	0.04	0.03	0.05
Regular	1440	7.33	7.24	8.28	6.78	6.20	6.54
GA-guided	1440	35.90	33.88	30.07	37.81	23.20	24.62
PSO-guided	1440	3.70	4.15	3.62	2.85	3.05	4.14
GA	1440	0.00	0.00	0.00	0.00	0.00	0.00
PSO	1440	0.02	0.02	0.02	0.08	0.02	0.03
