Model,Duration (min),10,20,30,50,80,100
Regular,60,8.33,7.31,7.55,7.53,8.06,8.47
GA-guided,60,1.81,1.82,1.52,1.23,1.32,1.46
Regular,120,15.89,13.76,12.97,12.29,11.44,10.55
GA-guided,120,1.20,1.59,1.57,1.53,1.30,1.46
Regular,180,21.11,20.39,19.79,19.15,16.45,17.24
GA-guided,180,1.49,1.36,1.91,1.89,1.54,1.51
Regular,240,27.43,24.22,26.43,25.62,25.42,25.10
GA-guided,240,1.36,1.54,1.59,1.82,1.80,1.69
Regular,360,44.61,39.85,38.72,34.80,37.30,39.37
GA-guided,360,0.97,1.71,1.40,1.85,1.71,1.51
Regular,540,80.21,71.83,68.84,66.40,57.68,58.04
GA-guided,540,0.18,0.60,1.03,1.48,1.80,1.46
Regular,720,119.74,108.73,103.47,99.78,95.03,94.37
GA-guided,720,0.17,0.19,0.18,0.76,1.15,1.32
Regular,1080,199.25,192.76,182.48,177.46,173.29,171.71
GA-guided,1080,0.43,0.39,0.36,0.45,0.29,0.17
Regular,1440,245.07,262.01,263.63,261.63,255.56,247.06
GA-guided,1440,0.57,0.51,0.46,0.46,0.42,0.42
